# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 3.923697e-01
# lRef        : 4.000000e+00
# Aref        : 2.562000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-2.205878e-04	5.065652e-02	-5.517436e-03	-2.979306e-03	-2.538130e-03
2             	-2.204025e-03	5.669647e-01	-6.859482e-02	-3.650143e-02	-3.209338e-02
3             	-3.115831e-03	9.470776e-01	-7.374180e-02	-3.998673e-02	-3.375507e-02
4             	-2.907626e-03	1.035910e+00	-4.390148e-02	-2.485837e-02	-1.904311e-02
5             	-2.344634e-03	9.814362e-01	-5.378155e-03	-5.033712e-03	-3.444436e-04
6             	-1.980781e-03	9.055358e-01	1.494144e-02	5.489940e-03	9.451502e-03
7             	-1.663307e-03	8.194302e-01	3.720729e-02	1.694034e-02	2.026695e-02
8             	-1.585875e-03	7.665764e-01	4.423932e-02	2.053379e-02	2.370554e-02
9             	-1.667765e-03	7.491737e-01	4.499232e-02	2.082840e-02	2.416393e-02
10            	-1.803136e-03	7.571189e-01	4.163801e-02	1.901587e-02	2.262214e-02
11            	-1.935945e-03	7.727660e-01	3.725250e-02	1.669031e-02	2.056220e-02
12            	-2.077292e-03	7.938586e-01	3.120058e-02	1.352300e-02	1.767758e-02
13            	-2.235627e-03	8.219272e-01	2.087922e-02	8.203980e-03	1.267524e-02
14            	-2.335377e-03	8.414014e-01	7.873091e-03	1.601168e-03	6.271922e-03
15            	-2.395530e-03	8.488905e-01	-3.509466e-03	-4.150263e-03	6.407973e-04
16            	-2.469853e-03	8.512888e-01	-1.290088e-02	-8.920292e-03	-3.980585e-03
17            	-2.565149e-03	8.526557e-01	-2.027775e-02	-1.270402e-02	-7.573728e-03
18            	-2.671949e-03	8.538066e-01	-2.556690e-02	-1.545540e-02	-1.011150e-02
19            	-2.778451e-03	8.544958e-01	-2.836599e-02	-1.696145e-02	-1.140454e-02
20            	-2.884559e-03	8.552791e-01	-2.800543e-02	-1.688728e-02	-1.111816e-02
21            	-2.993751e-03	8.569835e-01	-2.379622e-02	-1.489186e-02	-8.904359e-03
22            	-3.099492e-03	8.600206e-01	-1.495603e-02	-1.057751e-02	-4.378525e-03
23            	-3.184047e-03	8.642101e-01	-3.005817e-03	-4.686956e-03	1.681139e-03
24            	-3.232897e-03	8.683199e-01	8.962954e-03	1.248580e-03	7.714374e-03
25            	-3.259298e-03	8.719074e-01	2.013333e-02	6.807367e-03	1.332596e-02
26            	-3.275188e-03	8.748456e-01	3.037777e-02	1.191369e-02	1.846407e-02
27            	-3.285515e-03	8.772142e-01	3.869859e-02	1.606378e-02	2.263481e-02
28            	-3.292109e-03	8.789130e-01	4.457555e-02	1.899566e-02	2.557988e-02
29            	-3.293002e-03	8.792485e-01	4.856710e-02	2.099055e-02	2.757655e-02
30            	-3.289670e-03	8.785103e-01	5.106895e-02	2.224481e-02	2.882415e-02
31            	-3.285799e-03	8.772468e-01	5.249706e-02	2.296273e-02	2.953433e-02
32            	-3.285573e-03	8.759250e-01	5.357723e-02	2.350304e-02	3.007419e-02
33            	-3.290511e-03	8.747779e-01	5.497600e-02	2.419749e-02	3.077851e-02
34            	-3.300779e-03	8.737970e-01	5.713233e-02	2.526538e-02	3.186694e-02
35            	-3.312041e-03	8.727247e-01	6.024863e-02	2.681228e-02	3.343636e-02
36            	-3.319704e-03	8.712579e-01	6.431405e-02	2.883732e-02	3.547673e-02
37            	-3.322330e-03	8.693436e-01	6.941705e-02	3.138620e-02	3.803086e-02
38            	-3.321592e-03	8.673171e-01	7.550541e-02	3.443111e-02	4.107430e-02
39            	-3.321902e-03	8.656900e-01	8.240318e-02	3.787969e-02	4.452349e-02
40            	-3.328308e-03	8.649596e-01	9.000423e-02	4.167381e-02	4.833042e-02
41            	-3.344354e-03	8.655271e-01	9.795642e-02	4.563385e-02	5.232256e-02
42            	-3.371172e-03	8.676520e-01	1.059810e-01	4.961934e-02	5.636169e-02
43            	-3.405958e-03	8.712338e-01	1.135560e-01	5.337206e-02	6.018398e-02
44            	-3.443286e-03	8.757971e-01	1.201463e-01	5.662984e-02	6.351641e-02
45            	-3.482497e-03	8.814865e-01	1.257315e-01	5.938325e-02	6.634825e-02
46            	-3.521361e-03	8.880306e-01	1.302939e-01	6.162560e-02	6.866832e-02
47            	-3.550780e-03	8.937866e-01	1.335713e-01	6.323485e-02	7.033641e-02
48            	-3.565563e-03	8.975058e-01	1.353636e-01	6.411623e-02	7.124735e-02
49            	-3.570256e-03	8.995904e-01	1.357658e-01	6.431267e-02	7.145318e-02
50            	-3.570941e-03	9.006433e-01	1.352703e-01	6.406420e-02	7.120609e-02
51            	-3.573095e-03	9.011304e-01	1.347676e-01	6.381072e-02	7.095691e-02
52            	-3.578127e-03	9.009472e-01	1.350717e-01	6.395772e-02	7.111398e-02
53            	-3.587860e-03	9.003829e-01	1.365491e-01	6.468671e-02	7.186243e-02
54            	-3.602686e-03	8.998925e-01	1.390978e-01	6.594620e-02	7.315157e-02
55            	-3.622531e-03	9.004886e-01	1.424554e-01	6.760518e-02	7.485025e-02
56            	-3.651004e-03	9.034295e-01	1.468704e-01	6.978420e-02	7.708621e-02
57            	-3.673033e-03	9.067740e-01	1.516044e-01	7.212916e-02	7.947523e-02
58            	-3.680649e-03	9.089188e-01	1.559868e-01	7.431276e-02	8.167406e-02
59            	-3.686025e-03	9.113542e-01	1.580950e-01	7.536148e-02	8.273353e-02
60            	-3.688411e-03	9.139655e-01	1.559909e-01	7.430704e-02	8.168386e-02
61            	-3.678255e-03	9.153941e-01	1.488106e-01	7.072705e-02	7.808356e-02
62            	-3.650545e-03	9.150872e-01	1.374033e-01	6.505111e-02	7.235220e-02
63            	-3.600173e-03	9.124393e-01	1.236453e-01	5.822246e-02	6.542281e-02
64            	-3.527196e-03	9.071166e-01	1.097199e-01	5.133277e-02	5.838716e-02
65            	-3.431114e-03	8.982775e-01	9.979111e-02	4.646444e-02	5.332667e-02
66            	-3.322075e-03	8.876162e-01	9.500311e-02	4.417948e-02	5.082363e-02
67            	-3.218624e-03	8.772449e-01	9.621429e-02	4.488852e-02	5.132577e-02
68            	-3.147561e-03	8.704331e-01	1.012377e-01	4.747131e-02	5.376643e-02
69            	-3.119546e-03	8.680465e-01	1.057657e-01	4.976329e-02	5.600239e-02
70            	-3.131727e-03	8.694724e-01	1.075355e-01	5.063600e-02	5.689945e-02
71            	-3.176460e-03	8.736580e-01	1.067556e-01	5.020136e-02	5.655428e-02
72            	-3.253532e-03	8.806245e-01	1.039220e-01	4.870746e-02	5.521453e-02
73            	-3.359385e-03	8.900891e-01	9.941624e-02	4.634873e-02	5.306750e-02
74            	-3.479260e-03	9.007289e-01	9.355687e-02	4.329917e-02	5.025769e-02
75            	-3.593778e-03	9.106271e-01	8.710290e-02	3.995767e-02	4.714523e-02
76            	-3.691282e-03	9.180270e-01	8.062745e-02	3.662244e-02	4.400501e-02
77            	-3.767186e-03	9.223490e-01	7.423807e-02	3.335185e-02	4.088622e-02
78            	-3.820845e-03	9.241647e-01	6.789459e-02	3.012645e-02	3.776814e-02
79            	-3.851776e-03	9.243438e-01	6.203014e-02	2.716329e-02	3.486684e-02
80            	-3.865164e-03	9.239702e-01	5.821536e-02	2.524252e-02	3.297285e-02
81            	-3.870764e-03	9.240204e-01	5.770020e-02	2.497934e-02	3.272086e-02
82            	-3.880081e-03	9.253977e-01	6.065876e-02	2.644930e-02	3.420946e-02
83            	-3.897776e-03	9.280050e-01	6.658453e-02	2.939449e-02	3.719004e-02
84            	-3.920493e-03	9.312059e-01	7.532931e-02	3.374416e-02	4.158515e-02
85            	-3.941268e-03	9.343998e-01	8.661965e-02	3.936856e-02	4.725110e-02
86            	-3.959452e-03	9.382739e-01	9.971043e-02	4.589576e-02	5.381466e-02
87            	-3.973436e-03	9.433093e-01	1.127764e-01	5.241478e-02	6.036166e-02
88            	-3.969454e-03	9.474959e-01	1.239607e-01	5.801091e-02	6.594981e-02
89            	-3.947836e-03	9.499803e-01	1.312397e-01	6.167202e-02	6.956769e-02
90            	-3.918313e-03	9.517006e-01	1.341973e-01	6.318033e-02	7.101695e-02
91            	-3.884936e-03	9.526315e-01	1.339460e-01	6.308807e-02	7.085794e-02
92            	-3.841395e-03	9.521104e-01	1.318498e-01	6.208349e-02	6.976628e-02
93            	-3.783698e-03	9.494487e-01	1.299304e-01	6.118151e-02	6.874891e-02
94            	-3.706337e-03	9.441139e-01	1.294563e-01	6.102180e-02	6.843447e-02
95            	-3.614449e-03	9.368640e-01	1.308098e-01	6.179045e-02	6.901934e-02
96            	-3.526686e-03	9.298565e-01	1.330650e-01	6.300581e-02	7.005919e-02
97            	-3.457994e-03	9.244511e-01	1.338230e-01	6.345350e-02	7.036949e-02
98            	-3.419444e-03	9.215426e-01	1.306648e-01	6.191293e-02	6.875182e-02
99            	-3.419126e-03	9.218028e-01	1.228670e-01	5.801438e-02	6.485263e-02
100           	-3.453932e-03	9.249182e-01	1.100141e-01	5.155314e-02	5.846100e-02
101           	-3.501283e-03	9.288098e-01	9.341665e-02	4.320704e-02	5.020961e-02
102           	-3.538236e-03	9.313065e-01	7.467832e-02	3.380092e-02	4.087739e-02
103           	-3.560808e-03	9.324290e-01	5.579591e-02	2.433715e-02	3.145877e-02
104           	-3.568390e-03	9.324094e-01	3.929819e-02	1.608070e-02	2.321748e-02
105           	-3.560455e-03	9.305785e-01	2.821147e-02	1.054528e-02	1.766619e-02
106           	-3.554163e-03	9.279799e-01	2.301524e-02	7.953456e-03	1.506178e-02
107           	-3.558876e-03	9.248915e-01	2.176093e-02	7.321587e-03	1.443934e-02
108           	-3.574580e-03	9.210178e-01	2.276265e-02	7.806744e-03	1.495590e-02
109           	-3.602173e-03	9.169772e-01	2.484296e-02	8.819307e-03	1.602365e-02
110           	-3.651701e-03	9.141133e-01	2.762938e-02	1.016299e-02	1.746639e-02
111           	-3.725903e-03	9.135929e-01	3.046869e-02	1.150844e-02	1.896025e-02
112           	-3.812926e-03	9.149767e-01	3.388265e-02	1.312840e-02	2.075425e-02
113           	-3.903634e-03	9.180241e-01	3.941590e-02	1.580431e-02	2.361158e-02
114           	-3.993688e-03	9.236343e-01	4.683681e-02	1.942472e-02	2.741209e-02
115           	-4.083450e-03	9.322399e-01	5.612487e-02	2.397899e-02	3.214589e-02
116           	-4.162213e-03	9.420995e-01	6.766126e-02	2.966842e-02	3.799284e-02
117           	-4.232562e-03	9.535539e-01	8.138384e-02	3.645936e-02	4.492448e-02
118           	-4.299946e-03	9.671010e-01	9.552718e-02	4.346365e-02	5.206354e-02
119           	-4.346220e-03	9.801378e-01	1.082432e-01	4.977538e-02	5.846782e-02
120           	-4.360884e-03	9.903221e-01	1.176967e-01	5.448746e-02	6.320922e-02
121           	-4.339765e-03	9.952050e-01	1.230888e-01	5.720465e-02	6.588418e-02
122           	-4.271989e-03	9.920687e-01	1.254808e-01	5.846842e-02	6.701240e-02
123           	-4.158721e-03	9.795996e-01	1.258328e-01	5.875769e-02	6.707514e-02
124           	-4.045306e-03	9.628702e-01	1.250859e-01	5.849766e-02	6.658827e-02
125           	-3.960334e-03	9.469307e-01	1.230936e-01	5.758647e-02	6.550714e-02
126           	-3.900442e-03	9.335086e-01	1.193611e-01	5.578009e-02	6.358098e-02
127           	-3.854760e-03	9.230821e-01	1.139169e-01	5.310367e-02	6.081319e-02
128           	-3.821008e-03	9.160478e-01	1.074531e-01	4.990552e-02	5.754754e-02
129           	-3.803850e-03	9.124834e-01	1.004445e-01	4.641839e-02	5.402609e-02
130           	-3.803131e-03	9.115641e-01	9.326078e-02	4.282726e-02	5.043352e-02
131           	-3.815029e-03	9.121355e-01	8.638593e-02	3.937793e-02	4.700799e-02
132           	-3.839589e-03	9.142496e-01	8.041257e-02	3.636669e-02	4.404587e-02
133           	-3.873736e-03	9.183398e-01	7.487820e-02	3.356536e-02	4.131283e-02
134           	-3.909514e-03	9.245978e-01	6.986342e-02	3.102220e-02	3.884123e-02
135           	-3.933678e-03	9.318729e-01	6.577582e-02	2.895423e-02	3.682159e-02
136           	-3.930564e-03	9.369395e-01	6.227731e-02	2.720809e-02	3.506922e-02
137           	-3.910052e-03	9.398733e-01	5.807746e-02	2.512868e-02	3.294878e-02
138           	-3.881995e-03	9.406873e-01	5.278984e-02	2.251293e-02	3.027692e-02
139           	-3.853482e-03	9.394466e-01	4.754702e-02	1.992003e-02	2.762699e-02
140           	-3.833763e-03	9.376180e-01	4.471884e-02	1.852566e-02	2.619318e-02
141           	-3.825999e-03	9.361698e-01	4.612295e-02	1.923547e-02	2.688747e-02
142           	-3.831131e-03	9.358505e-01	5.379614e-02	2.306694e-02	3.072920e-02
143           	-3.856766e-03	9.374987e-01	6.912699e-02	3.070673e-02	3.842026e-02
144           	-3.908445e-03	9.425708e-01	8.789483e-02	4.003897e-02	4.785586e-02
145           	-3.979942e-03	9.500234e-01	1.042619e-01	4.815101e-02	5.611089e-02
146           	-4.054331e-03	9.564554e-01	1.161902e-01	5.404074e-02	6.214941e-02
147           	-4.112973e-03	9.593819e-01	1.234163e-01	5.759519e-02	6.582113e-02
148           	-4.149814e-03	9.582027e-01	1.252056e-01	5.845299e-02	6.675262e-02
149           	-4.181611e-03	9.562343e-01	1.216926e-01	5.666471e-02	6.502793e-02
150           	-4.228970e-03	9.569419e-01	1.148329e-01	5.318746e-02	6.164540e-02
151           	-4.285633e-03	9.597614e-01	1.078438e-01	4.963628e-02	5.820755e-02
152           	-4.334875e-03	9.628937e-01	1.029952e-01	4.716274e-02	5.583249e-02
153           	-4.367797e-03	9.653517e-01	1.008649e-01	4.606466e-02	5.480025e-02
154           	-4.378066e-03	9.661547e-01	1.011128e-01	4.617833e-02	5.493446e-02
155           	-4.358984e-03	9.638541e-01	1.031676e-01	4.722480e-02	5.594277e-02
156           	-4.306516e-03	9.574649e-01	1.062194e-01	4.880318e-02	5.741621e-02
157           	-4.234235e-03	9.492069e-01	1.087999e-01	5.016570e-02	5.863417e-02
158           	-4.157430e-03	9.417971e-01	1.099454e-01	5.081526e-02	5.913012e-02
159           	-4.083522e-03	9.368419e-01	1.095996e-01	5.071630e-02	5.888335e-02
160           	-4.020655e-03	9.353559e-01	1.083673e-01	5.016301e-02	5.820432e-02
161           	-3.968095e-03	9.365569e-01	1.064066e-01	4.923520e-02	5.717139e-02
162           	-3.918040e-03	9.395491e-01	1.033078e-01	4.773586e-02	5.557194e-02
163           	-3.864943e-03	9.429722e-01	9.890716e-02	4.558864e-02	5.331852e-02
164           	-3.805203e-03	9.453067e-01	9.281669e-02	4.260314e-02	5.021355e-02
165           	-3.745395e-03	9.468861e-01	8.445555e-02	3.848238e-02	4.597317e-02
166           	-3.686090e-03	9.482263e-01	7.300600e-02	3.281691e-02	4.018909e-02
167           	-3.617807e-03	9.470063e-01	6.201342e-02	2.738890e-02	3.462452e-02
168           	-3.532045e-03	9.422017e-01	5.328061e-02	2.310826e-02	3.017235e-02
169           	-3.437457e-03	9.347251e-01	4.894885e-02	2.103697e-02	2.791188e-02
170           	-3.352378e-03	9.259174e-01	4.903182e-02	2.116353e-02	2.786829e-02
171           	-3.296792e-03	9.177340e-01	5.138508e-02	2.239575e-02	2.898933e-02
172           	-3.280554e-03	9.112327e-01	5.370606e-02	2.357248e-02	3.013359e-02
173           	-3.309418e-03	9.077355e-01	5.445472e-02	2.391794e-02	3.053678e-02
174           	-3.385207e-03	9.091392e-01	5.205793e-02	2.264376e-02	2.941417e-02
175           	-3.486125e-03	9.138766e-01	4.608102e-02	1.955439e-02	2.652663e-02
176           	-3.578786e-03	9.187860e-01	3.522478e-02	1.403361e-02	2.119118e-02
177           	-3.658945e-03	9.240001e-01	1.780442e-02	5.243266e-03	1.256116e-02
178           	-3.738032e-03	9.308491e-01	-3.239244e-03	-5.357654e-03	2.118410e-03
179           	-3.799792e-03	9.367628e-01	-2.011800e-02	-1.385879e-02	-6.259207e-03
180           	-3.834138e-03	9.391943e-01	-2.763853e-02	-1.765340e-02	-9.985125e-03
181           	-3.852646e-03	9.392252e-01	-2.663830e-02	-1.717179e-02	-9.466503e-03
182           	-3.871168e-03	9.387365e-01	-1.743585e-02	-1.258909e-02	-4.846758e-03
183           	-3.901741e-03	9.385944e-01	7.734585e-04	-3.515012e-03	4.288471e-03
184           	-3.961290e-03	9.397388e-01	2.913388e-02	1.060565e-02	1.852823e-02
185           	-4.062288e-03	9.439183e-01	6.394359e-02	2.790951e-02	3.603408e-02
186           	-4.188693e-03	9.504036e-01	9.890845e-02	4.526553e-02	5.364292e-02
187           	-4.320278e-03	9.578468e-01	1.316349e-01	6.149716e-02	7.013772e-02
188           	-4.438818e-03	9.657963e-01	1.595865e-01	7.535442e-02	8.423206e-02
189           	-4.523694e-03	9.722650e-01	1.816701e-01	8.631134e-02	9.535873e-02
190           	-4.560237e-03	9.759831e-01	1.981175e-01	9.449851e-02	1.036190e-01
191           	-4.541108e-03	9.762382e-01	2.088086e-01	9.986317e-02	1.089454e-01
192           	-4.483269e-03	9.742334e-01	2.141718e-01	1.026026e-01	1.115692e-01
193           	-4.420388e-03	9.738157e-01	2.137642e-01	1.024617e-01	1.113025e-01
194           	-4.367916e-03	9.755640e-01	2.079612e-01	9.961267e-02	1.083485e-01
195           	-4.323237e-03	9.789990e-01	1.976473e-01	9.450040e-02	1.031469e-01
196           	-4.273134e-03	9.823740e-01	1.832846e-01	8.736915e-02	9.591542e-02
197           	-4.211081e-03	9.833019e-01	1.673325e-01	7.945515e-02	8.787732e-02
198           	-4.137596e-03	9.805029e-01	1.517349e-01	7.172985e-02	8.000504e-02
199           	-4.059610e-03	9.738675e-01	1.385385e-01	6.520963e-02	7.332885e-02
200           	-3.982224e-03	9.645800e-01	1.286221e-01	6.032882e-02	6.829327e-02
201           	-3.907296e-03	9.541449e-01	1.219321e-01	5.705876e-02	6.487335e-02
202           	-3.832984e-03	9.437585e-01	1.173529e-01	5.484346e-02	6.250943e-02
203           	-3.756561e-03	9.343331e-01	1.130256e-01	5.275623e-02	6.026935e-02
204           	-3.679724e-03	9.269552e-01	1.067829e-01	4.971173e-02	5.707118e-02
205           	-3.612169e-03	9.228162e-01	9.681408e-02	4.479487e-02	5.201921e-02
206           	-3.564385e-03	9.216316e-01	8.318282e-02	3.802702e-02	4.515579e-02
207           	-3.537304e-03	9.219103e-01	6.649766e-02	2.971152e-02	3.678613e-02
208           	-3.521634e-03	9.220912e-01	4.639615e-02	1.967644e-02	2.671971e-02
209           	-3.508944e-03	9.220469e-01	2.276969e-02	7.875901e-03	1.489379e-02
210           	-3.498257e-03	9.220842e-01	-2.047429e-04	-3.600629e-03	3.395886e-03
211           	-3.484033e-03	9.213331e-01	-1.848015e-02	-1.272411e-02	-5.756042e-03
212           	-3.464062e-03	9.191737e-01	-3.003141e-02	-1.847977e-02	-1.155165e-02
213           	-3.441854e-03	9.160237e-01	-3.381452e-02	-2.034912e-02	-1.346541e-02
214           	-3.429662e-03	9.132920e-01	-3.084191e-02	-1.885062e-02	-1.199129e-02
215           	-3.435776e-03	9.111586e-01	-2.108682e-02	-1.397919e-02	-7.107637e-03
216           	-3.469725e-03	9.098377e-01	-6.005901e-03	-6.472675e-03	4.667743e-04
217           	-3.535386e-03	9.095828e-01	1.313754e-02	3.033384e-03	1.010416e-02
218           	-3.627424e-03	9.110649e-01	3.475615e-02	1.375065e-02	2.100550e-02
219           	-3.741836e-03	9.161728e-01	5.724287e-02	2.487960e-02	3.236327e-02
220           	-3.871360e-03	9.253433e-01	7.909142e-02	3.567435e-02	4.341707e-02
221           	-4.007214e-03	9.375383e-01	9.837391e-02	4.517974e-02	5.319417e-02
222           	-4.134363e-03	9.503542e-01	1.134295e-01	5.258039e-02	6.084912e-02
223           	-4.237322e-03	9.611150e-01	1.241248e-01	5.782510e-02	6.629974e-02
224           	-4.304846e-03	9.684126e-01	1.311531e-01	6.127168e-02	6.988137e-02
225           	-4.334368e-03	9.720553e-01	1.352816e-01	6.330642e-02	7.197516e-02
226           	-4.330961e-03	9.720976e-01	1.377259e-01	6.453199e-02	7.319391e-02
227           	-4.309497e-03	9.696688e-01	1.393084e-01	6.534468e-02	7.396368e-02
228           	-4.281897e-03	9.656617e-01	1.406351e-01	6.603563e-02	7.459943e-02
229           	-4.261154e-03	9.617021e-01	1.420776e-01	6.677765e-02	7.529995e-02
230           	-4.247515e-03	9.581023e-01	1.434765e-01	6.749073e-02	7.598576e-02
231           	-4.237227e-03	9.550129e-01	1.440427e-01	6.778411e-02	7.625857e-02
232           	-4.228260e-03	9.530497e-01	1.427328e-01	6.713813e-02	7.559465e-02
233           	-4.217697e-03	9.525882e-01	1.386625e-01	6.511357e-02	7.354896e-02
234           	-4.200617e-03	9.535330e-01	1.313674e-01	6.148307e-02	6.988431e-02
235           	-4.178094e-03	9.561579e-01	1.207758e-01	5.620979e-02	6.456598e-02
236           	-4.152730e-03	9.603429e-01	1.071736e-01	4.943406e-02	5.773952e-02
237           	-4.125642e-03	9.651806e-01	9.217104e-02	4.195988e-02	5.021116e-02
238           	-4.093183e-03	9.692170e-01	7.818126e-02	3.499745e-02	4.318381e-02
239           	-4.051147e-03	9.716028e-01	6.695314e-02	2.942542e-02	3.752772e-02
240           	-3.996726e-03	9.713996e-01	6.018946e-02	2.609801e-02	3.409146e-02
241           	-3.934394e-03	9.693468e-01	5.962607e-02	2.587864e-02	3.374743e-02
242           	-3.869680e-03	9.669599e-01	6.667077e-02	2.946570e-02	3.720506e-02
243           	-3.806000e-03	9.647296e-01	8.128768e-02	3.683784e-02	4.444984e-02
244           	-3.735302e-03	9.607126e-01	1.002274e-01	4.637840e-02	5.384900e-02
245           	-3.647853e-03	9.522465e-01	1.203979e-01	5.655108e-02	6.384679e-02
246           	-3.553422e-03	9.391387e-01	1.370594e-01	6.497629e-02	7.208313e-02
247           	-3.479050e-03	9.247427e-01	1.463896e-01	6.971577e-02	7.667387e-02
248           	-3.449500e-03	9.135150e-01	1.474190e-01	7.026002e-02	7.715902e-02
