# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 3.138958e-02
# lRef        : 4.000000e+00
# Aref        : 2.562000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-3.441665e-03	7.892035e-01	-8.479616e-02	-4.583975e-02	-3.895642e-02
2             	-2.508281e-03	8.217110e-01	-1.424433e-01	-7.372991e-02	-6.871335e-02
3             	-2.510717e-03	9.296220e-01	-8.619008e-02	-4.560576e-02	-4.058432e-02
4             	-2.419445e-03	9.362019e-01	-9.407765e-03	-7.123328e-03	-2.284437e-03
5             	-2.674910e-03	9.823258e-01	6.484606e-02	2.974812e-02	3.509794e-02
6             	-2.669551e-03	9.961473e-01	7.100060e-02	3.283075e-02	3.816985e-02
7             	-2.568068e-03	9.814870e-01	5.602027e-02	2.544207e-02	3.057820e-02
8             	-2.540776e-03	9.906645e-01	2.922968e-02	1.207407e-02	1.715562e-02
9             	-2.506100e-03	1.000148e+00	2.944168e-04	-2.358892e-03	2.653308e-03
10            	-2.521083e-03	1.016744e+00	-1.475688e-02	-9.899522e-03	-4.857356e-03
11            	-2.492724e-03	1.021631e+00	-1.772835e-02	-1.135690e-02	-6.371450e-03
12            	-2.454245e-03	1.020571e+00	-1.040369e-02	-7.656092e-03	-2.747602e-03
13            	-2.395813e-03	1.010955e+00	1.257753e-03	-1.766936e-03	3.024689e-03
14            	-2.345330e-03	9.984800e-01	7.825278e-03	1.567309e-03	6.257969e-03
15            	-2.338301e-03	9.934664e-01	2.459201e-03	-1.108700e-03	3.567901e-03
16            	-2.315321e-03	9.902306e-01	-9.855535e-03	-7.243089e-03	-2.612447e-03
17            	-2.344501e-03	9.943427e-01	-2.035050e-02	-1.251975e-02	-7.830749e-03
18            	-2.366037e-03	9.979706e-01	-2.945233e-02	-1.709220e-02	-1.236013e-02
19            	-2.372977e-03	1.000400e+00	-3.601725e-02	-2.038160e-02	-1.563565e-02
20            	-2.374098e-03	1.002671e+00	-3.077757e-02	-1.776288e-02	-1.301469e-02
21            	-2.400962e-03	1.005025e+00	-2.770843e-02	-1.625518e-02	-1.145325e-02
22            	-2.452914e-03	1.010722e+00	-2.413520e-02	-1.452051e-02	-9.614687e-03
23            	-2.477075e-03	1.012806e+00	-2.352827e-02	-1.424121e-02	-9.287059e-03
24            	-2.498606e-03	1.015251e+00	-2.375862e-02	-1.437792e-02	-9.380706e-03
25            	-2.515435e-03	1.016951e+00	-2.416980e-02	-1.460034e-02	-9.569466e-03
26            	-2.522816e-03	1.017320e+00	-2.426460e-02	-1.465512e-02	-9.609486e-03
27            	-2.519124e-03	1.016206e+00	-2.356103e-02	-1.429964e-02	-9.261391e-03
28            	-2.509138e-03	1.014152e+00	-2.228557e-02	-1.365192e-02	-8.633647e-03
29            	-2.499728e-03	1.012381e+00	-2.134145e-02	-1.317045e-02	-8.170998e-03
30            	-2.494905e-03	1.011557e+00	-2.085404e-02	-1.292193e-02	-7.932114e-03
31            	-2.493585e-03	1.011715e+00	-2.106612e-02	-1.302664e-02	-8.039473e-03
32            	-2.495966e-03	1.012775e+00	-2.184511e-02	-1.341852e-02	-8.426586e-03
33            	-2.500632e-03	1.014542e+00	-2.208546e-02	-1.354336e-02	-8.542099e-03
34            	-2.504555e-03	1.016390e+00	-2.174548e-02	-1.337730e-02	-8.368184e-03
35            	-2.508954e-03	1.018326e+00	-2.093784e-02	-1.297787e-02	-7.959966e-03
36            	-2.514310e-03	1.020344e+00	-1.985893e-02	-1.244377e-02	-7.415155e-03
37            	-2.520057e-03	1.022331e+00	-1.882260e-02	-1.193136e-02	-6.891245e-03
38            	-2.525230e-03	1.024177e+00	-1.807093e-02	-1.156069e-02	-6.510233e-03
39            	-2.528946e-03	1.025808e+00	-1.767637e-02	-1.136713e-02	-6.309239e-03
40            	-2.529447e-03	1.026916e+00	-1.760744e-02	-1.133317e-02	-6.274274e-03
41            	-2.527485e-03	1.027601e+00	-1.775959e-02	-1.140728e-02	-6.352312e-03
42            	-2.522478e-03	1.027783e+00	-1.799034e-02	-1.151765e-02	-6.472690e-03
43            	-2.514481e-03	1.027387e+00	-1.819023e-02	-1.160959e-02	-6.580632e-03
44            	-2.504553e-03	1.026475e+00	-1.824616e-02	-1.162763e-02	-6.618525e-03
45            	-2.496970e-03	1.025758e+00	-1.820905e-02	-1.160150e-02	-6.607557e-03
46            	-2.490482e-03	1.025148e+00	-1.818038e-02	-1.158067e-02	-6.599709e-03
47            	-2.485107e-03	1.024758e+00	-1.810346e-02	-1.153684e-02	-6.566623e-03
48            	-2.481439e-03	1.024583e+00	-1.792873e-02	-1.144580e-02	-6.482926e-03
49            	-2.479067e-03	1.024578e+00	-1.764584e-02	-1.130199e-02	-6.343854e-03
50            	-2.478612e-03	1.024879e+00	-1.731435e-02	-1.113579e-02	-6.178564e-03
51            	-2.481052e-03	1.025672e+00	-1.699053e-02	-1.097632e-02	-6.014212e-03
52            	-2.485941e-03	1.027004e+00	-1.673077e-02	-1.085132e-02	-5.879443e-03
53            	-2.491296e-03	1.028658e+00	-1.650463e-02	-1.074361e-02	-5.761019e-03
54            	-2.497157e-03	1.030575e+00	-1.633914e-02	-1.066673e-02	-5.672414e-03
55            	-2.503493e-03	1.032712e+00	-1.636132e-02	-1.068415e-02	-5.677166e-03
56            	-2.509039e-03	1.034690e+00	-1.647441e-02	-1.074624e-02	-5.728165e-03
57            	-2.514607e-03	1.036584e+00	-1.668625e-02	-1.085773e-02	-5.828519e-03
58            	-2.519105e-03	1.038255e+00	-1.698267e-02	-1.101044e-02	-5.972232e-03
59            	-2.521873e-03	1.039636e+00	-1.741046e-02	-1.122711e-02	-6.183358e-03
60            	-2.522212e-03	1.040620e+00	-1.806700e-02	-1.155571e-02	-6.511289e-03
61            	-2.519150e-03	1.040906e+00	-1.870950e-02	-1.187390e-02	-6.835603e-03
62            	-2.512566e-03	1.040401e+00	-1.919337e-02	-1.210925e-02	-7.084118e-03
63            	-2.503630e-03	1.039250e+00	-1.944429e-02	-1.222577e-02	-7.218514e-03
64            	-2.494402e-03	1.037902e+00	-1.957682e-02	-1.228281e-02	-7.294006e-03
65            	-2.485332e-03	1.036431e+00	-1.954835e-02	-1.225951e-02	-7.288845e-03
66            	-2.476987e-03	1.034980e+00	-1.935607e-02	-1.215502e-02	-7.201049e-03
67            	-2.469400e-03	1.033637e+00	-1.904301e-02	-1.199091e-02	-7.052106e-03
68            	-2.463434e-03	1.032528e+00	-1.859296e-02	-1.175991e-02	-6.833046e-03
69            	-2.458884e-03	1.031647e+00	-1.796918e-02	-1.144347e-02	-6.525706e-03
70            	-2.456074e-03	1.031103e+00	-1.714871e-02	-1.103043e-02	-6.118282e-03
71            	-2.454876e-03	1.030895e+00	-1.609488e-02	-1.050232e-02	-5.592566e-03
72            	-2.456382e-03	1.031264e+00	-1.497537e-02	-9.944069e-03	-5.031305e-03
73            	-2.461726e-03	1.032346e+00	-1.390858e-02	-9.416017e-03	-4.492565e-03
74            	-2.468953e-03	1.033971e+00	-1.292076e-02	-8.929334e-03	-3.991428e-03
75            	-2.477674e-03	1.036052e+00	-1.213464e-02	-8.544993e-03	-3.589644e-03
76            	-2.487684e-03	1.038426e+00	-1.171444e-02	-8.344903e-03	-3.369535e-03
77            	-2.498063e-03	1.040894e+00	-1.170578e-02	-8.350952e-03	-3.354826e-03
78            	-2.508429e-03	1.043380e+00	-1.213184e-02	-8.574351e-03	-3.557493e-03
79            	-2.517646e-03	1.045684e+00	-1.292004e-02	-8.977667e-03	-3.942375e-03
80            	-2.523769e-03	1.047492e+00	-1.395417e-02	-9.500854e-03	-4.453316e-03
81            	-2.524655e-03	1.048294e+00	-1.519457e-02	-1.012194e-02	-5.072631e-03
82            	-2.523001e-03	1.048733e+00	-1.674229e-02	-1.089414e-02	-5.848142e-03
83            	-2.516677e-03	1.048206e+00	-1.824893e-02	-1.164114e-02	-6.607785e-03
84            	-2.506828e-03	1.046866e+00	-1.955730e-02	-1.228548e-02	-7.271821e-03
85            	-2.493167e-03	1.044598e+00	-2.048057e-02	-1.273345e-02	-7.747119e-03
86            	-2.476723e-03	1.041608e+00	-2.099375e-02	-1.297360e-02	-8.020154e-03
87            	-2.460876e-03	1.038478e+00	-2.121494e-02	-1.306835e-02	-8.146596e-03
88            	-2.446165e-03	1.035408e+00	-2.110005e-02	-1.299619e-02	-8.103862e-03
89            	-2.434355e-03	1.032779e+00	-2.066303e-02	-1.276587e-02	-7.897161e-03
90            	-2.424782e-03	1.030549e+00	-1.979071e-02	-1.232014e-02	-7.470573e-03
91            	-2.419652e-03	1.029025e+00	-1.844106e-02	-1.164018e-02	-6.800881e-03
92            	-2.418084e-03	1.028164e+00	-1.668397e-02	-1.076007e-02	-5.923900e-03
93            	-2.419550e-03	1.027947e+00	-1.458881e-02	-9.713955e-03	-4.874856e-03
94            	-2.425154e-03	1.028820e+00	-1.247098e-02	-8.660644e-03	-3.810336e-03
95            	-2.437501e-03	1.031021e+00	-1.066648e-02	-7.770740e-03	-2.895739e-03
96            	-2.456051e-03	1.034438e+00	-9.394895e-03	-7.153499e-03	-2.241396e-03
97            	-2.475374e-03	1.038258e+00	-8.722775e-03	-6.836762e-03	-1.886014e-03
98            	-2.494382e-03	1.042171e+00	-8.686839e-03	-6.837801e-03	-1.849038e-03
99            	-2.512833e-03	1.046191e+00	-9.305262e-03	-7.165464e-03	-2.139798e-03
100           	-2.526606e-03	1.049580e+00	-1.055973e-02	-7.806472e-03	-2.753259e-03
101           	-2.537614e-03	1.052490e+00	-1.262575e-02	-8.850488e-03	-3.775260e-03
102           	-2.544314e-03	1.054728e+00	-1.526223e-02	-1.017543e-02	-5.086800e-03
103           	-2.543960e-03	1.055687e+00	-1.798758e-02	-1.153775e-02	-6.449829e-03
104           	-2.534549e-03	1.054972e+00	-2.043119e-02	-1.275015e-02	-7.681048e-03
105           	-2.516681e-03	1.052389e+00	-2.211149e-02	-1.357243e-02	-8.539066e-03
106           	-2.494820e-03	1.048783e+00	-2.309341e-02	-1.404153e-02	-9.051885e-03
107           	-2.471732e-03	1.044624e+00	-2.356094e-02	-1.425220e-02	-9.308735e-03
108           	-2.451786e-03	1.040504e+00	-2.375799e-02	-1.433078e-02	-9.427210e-03
109           	-2.434767e-03	1.036536e+00	-2.366105e-02	-1.426529e-02	-9.395758e-03
110           	-2.419939e-03	1.032712e+00	-2.311978e-02	-1.397983e-02	-9.139953e-03
111           	-2.410046e-03	1.029504e+00	-2.213505e-02	-1.347757e-02	-8.657480e-03
112           	-2.405022e-03	1.027250e+00	-2.076646e-02	-1.278825e-02	-7.978209e-03
113           	-2.402117e-03	1.025747e+00	-1.884371e-02	-1.182397e-02	-7.019736e-03
114           	-2.404265e-03	1.025451e+00	-1.657700e-02	-1.069277e-02	-5.884236e-03
115           	-2.412896e-03	1.026542e+00	-1.420801e-02	-9.516901e-03	-4.691109e-03
116           	-2.428161e-03	1.029042e+00	-1.192937e-02	-8.392844e-03	-3.536522e-03
117           	-2.448909e-03	1.032809e+00	-1.015859e-02	-7.528202e-03	-2.630384e-03
118           	-2.474013e-03	1.037443e+00	-9.123074e-03	-7.035550e-03	-2.087524e-03
119           	-2.498687e-03	1.042329e+00	-8.878343e-03	-6.937858e-03	-1.940485e-03
120           	-2.523923e-03	1.047633e+00	-9.756728e-03	-7.402287e-03	-2.354441e-03
121           	-2.542879e-03	1.052151e+00	-1.178651e-02	-8.436134e-03	-3.350375e-03
122           	-2.556368e-03	1.055827e+00	-1.511192e-02	-1.011233e-02	-4.999591e-03
123           	-2.559379e-03	1.057900e+00	-1.896590e-02	-1.204233e-02	-6.923571e-03
124           	-2.553622e-03	1.058380e+00	-2.240579e-02	-1.375652e-02	-8.649274e-03
125           	-2.539463e-03	1.057450e+00	-2.492355e-02	-1.500124e-02	-9.922312e-03
126           	-2.517897e-03	1.054631e+00	-2.606690e-02	-1.555134e-02	-1.051555e-02
127           	-2.490365e-03	1.050455e+00	-2.599386e-02	-1.548730e-02	-1.050657e-02
128           	-2.464504e-03	1.045868e+00	-2.531122e-02	-1.512012e-02	-1.019111e-02
129           	-2.442353e-03	1.041279e+00	-2.427020e-02	-1.457745e-02	-9.692746e-03
130           	-2.424270e-03	1.036820e+00	-2.298076e-02	-1.391465e-02	-9.066111e-03
131           	-2.410935e-03	1.032842e+00	-2.149127e-02	-1.315657e-02	-8.334701e-03
132           	-2.404255e-03	1.029634e+00	-1.987499e-02	-1.234175e-02	-7.533239e-03
133           	-2.407744e-03	1.028310e+00	-1.839346e-02	-1.160447e-02	-6.788984e-03
134           	-2.410357e-03	1.027536e+00	-1.660766e-02	-1.071419e-02	-5.893475e-03
135           	-2.417520e-03	1.028205e+00	-1.510057e-02	-9.967803e-03	-5.132763e-03
136           	-2.428606e-03	1.030115e+00	-1.364430e-02	-9.250755e-03	-4.393544e-03
137           	-2.444741e-03	1.033232e+00	-1.229960e-02	-8.594543e-03	-3.705060e-03
138           	-2.465275e-03	1.037319e+00	-1.128423e-02	-8.107389e-03	-3.176840e-03
139           	-2.487592e-03	1.041892e+00	-1.080209e-02	-7.888636e-03	-2.913452e-03
140           	-2.509107e-03	1.046506e+00	-1.113662e-02	-8.077418e-03	-3.059203e-03
141           	-2.526814e-03	1.050602e+00	-1.240923e-02	-8.731429e-03	-3.677800e-03
142           	-2.541286e-03	1.054399e+00	-1.473159e-02	-9.907079e-03	-4.824508e-03
143           	-2.550518e-03	1.057385e+00	-1.781761e-02	-1.145932e-02	-6.358289e-03
144           	-2.548703e-03	1.058464e+00	-2.093009e-02	-1.301375e-02	-7.916340e-03
145           	-2.539007e-03	1.057879e+00	-2.356511e-02	-1.432156e-02	-9.243547e-03
146           	-2.521358e-03	1.055840e+00	-2.518815e-02	-1.511544e-02	-1.007272e-02
147           	-2.498347e-03	1.052377e+00	-2.563373e-02	-1.531521e-02	-1.031852e-02
148           	-2.473679e-03	1.048112e+00	-2.520070e-02	-1.507403e-02	-1.012667e-02
149           	-2.449912e-03	1.043429e+00	-2.419048e-02	-1.454515e-02	-9.645325e-03
150           	-2.428916e-03	1.038655e+00	-2.285229e-02	-1.385506e-02	-8.997231e-03
151           	-2.411582e-03	1.034103e+00	-2.126679e-02	-1.304498e-02	-8.221815e-03
152           	-2.399759e-03	1.030265e+00	-1.955989e-02	-1.217970e-02	-7.380185e-03
153           	-2.396866e-03	1.027542e+00	-1.783027e-02	-1.131200e-02	-6.518269e-03
154           	-2.400272e-03	1.026485e+00	-1.622737e-02	-1.051396e-02	-5.713412e-03
155           	-2.409400e-03	1.026953e+00	-1.483748e-02	-9.828143e-03	-5.009342e-03
156           	-2.424110e-03	1.029271e+00	-1.384701e-02	-9.347617e-03	-4.499397e-03
157           	-2.442072e-03	1.032642e+00	-1.285111e-02	-8.867628e-03	-3.983483e-03
158           	-2.462043e-03	1.036821e+00	-1.203215e-02	-8.478117e-03	-3.554031e-03
159           	-2.483616e-03	1.041448e+00	-1.158689e-02	-8.277062e-03	-3.309829e-03
160           	-2.504834e-03	1.046149e+00	-1.171129e-02	-8.360480e-03	-3.350811e-03
161           	-2.523527e-03	1.050489e+00	-1.260456e-02	-8.825808e-03	-3.778755e-03
162           	-2.535270e-03	1.053673e+00	-1.455772e-02	-9.814130e-03	-4.743589e-03
163           	-2.542265e-03	1.056284e+00	-1.785649e-02	-1.147051e-02	-6.385978e-03
164           	-2.545746e-03	1.058146e+00	-2.169204e-02	-1.339177e-02	-8.300275e-03
165           	-2.539449e-03	1.058131e+00	-2.487585e-02	-1.497737e-02	-9.898478e-03
166           	-2.524393e-03	1.056549e+00	-2.689918e-02	-1.597398e-02	-1.092519e-02
167           	-2.503775e-03	1.053487e+00	-2.747668e-02	-1.624212e-02	-1.123457e-02
168           	-2.479007e-03	1.049419e+00	-2.681386e-02	-1.588594e-02	-1.092792e-02
