# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 3.138958e-01
# lRef        : 4.000000e+00
# Aref        : 2.562000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-2.838732e-04	6.519129e-02	-7.100847e-03	-3.834297e-03	-3.266551e-03
2             	-2.305395e-03	5.968368e-01	-7.276609e-02	-3.868844e-02	-3.407765e-02
3             	-3.171634e-03	9.579771e-01	-7.605739e-02	-4.120033e-02	-3.485706e-02
4             	-2.919316e-03	1.036210e+00	-4.481615e-02	-2.532739e-02	-1.948876e-02
5             	-2.343948e-03	9.805471e-01	-5.254747e-03	-4.971321e-03	-2.834252e-04
6             	-1.983211e-03	9.077764e-01	1.503627e-02	5.534924e-03	9.501345e-03
7             	-1.678214e-03	8.262672e-01	3.669660e-02	1.667009e-02	2.002652e-02
8             	-1.611799e-03	7.763860e-01	4.257078e-02	1.967359e-02	2.289719e-02
9             	-1.703261e-03	7.609910e-01	4.197994e-02	1.928671e-02	2.269323e-02
10            	-1.841476e-03	7.693658e-01	3.769689e-02	1.700697e-02	2.068992e-02
11            	-1.973567e-03	7.844387e-01	3.294034e-02	1.449660e-02	1.844374e-02
12            	-2.108703e-03	8.039882e-01	2.712941e-02	1.145600e-02	1.567341e-02
13            	-2.253961e-03	8.292020e-01	1.788424e-02	6.688161e-03	1.119608e-02
14            	-2.351796e-03	8.480780e-01	5.560586e-03	4.284972e-04	5.132089e-03
15            	-2.399236e-03	8.551239e-01	-5.065673e-03	-4.932073e-03	-1.336006e-04
16            	-2.458387e-03	8.569620e-01	-1.393597e-02	-9.426372e-03	-4.509598e-03
17            	-2.543348e-03	8.583987e-01	-2.117760e-02	-1.313215e-02	-8.045452e-03
18            	-2.645123e-03	8.602033e-01	-2.652033e-02	-1.590529e-02	-1.061504e-02
19            	-2.750850e-03	8.619501e-01	-2.933549e-02	-1.741860e-02	-1.191690e-02
20            	-2.856388e-03	8.638947e-01	-2.896551e-02	-1.733915e-02	-1.162637e-02
21            	-2.964956e-03	8.667137e-01	-2.485761e-02	-1.539376e-02	-9.463849e-03
22            	-3.075186e-03	8.711006e-01	-1.638598e-02	-1.126818e-02	-5.117806e-03
23            	-3.165322e-03	8.763764e-01	-5.110720e-03	-5.720682e-03	6.099614e-04
24            	-3.218526e-03	8.809386e-01	6.353900e-03	-4.157550e-05	6.395476e-03
25            	-3.240616e-03	8.841428e-01	1.642042e-02	4.969596e-03	1.145083e-02
26            	-3.245897e-03	8.860506e-01	2.476450e-02	9.136353e-03	1.562815e-02
27            	-3.244755e-03	8.871806e-01	3.154218e-02	1.252634e-02	1.901585e-02
28            	-3.243801e-03	8.879997e-01	3.645997e-02	1.498618e-02	2.147379e-02
29            	-3.242833e-03	8.883592e-01	3.966220e-02	1.658827e-02	2.307393e-02
30            	-3.239179e-03	8.876105e-01	4.182597e-02	1.767381e-02	2.415216e-02
31            	-3.236254e-03	8.860419e-01	4.348355e-02	1.850552e-02	2.497803e-02
32            	-3.237583e-03	8.843732e-01	4.475800e-02	1.914142e-02	2.561658e-02
33            	-3.243390e-03	8.830459e-01	4.577721e-02	1.964522e-02	2.613200e-02
34            	-3.253043e-03	8.822832e-01	4.682415e-02	2.015903e-02	2.666512e-02
35            	-3.264336e-03	8.819421e-01	4.811537e-02	2.079335e-02	2.732202e-02
36            	-3.275200e-03	8.817088e-01	4.991830e-02	2.168395e-02	2.823435e-02
37            	-3.284833e-03	8.812622e-01	5.285016e-02	2.314025e-02	2.970992e-02
38            	-3.294761e-03	8.804696e-01	5.720336e-02	2.530692e-02	3.189644e-02
39            	-3.307603e-03	8.793519e-01	6.302039e-02	2.820259e-02	3.481780e-02
40            	-3.325322e-03	8.780909e-01	7.024978e-02	3.179957e-02	3.845021e-02
41            	-3.349918e-03	8.772934e-01	7.843669e-02	3.586842e-02	4.256826e-02
42            	-3.381276e-03	8.774949e-01	8.705898e-02	4.014821e-02	4.691077e-02
43            	-3.418116e-03	8.790253e-01	9.562015e-02	4.439196e-02	5.122819e-02
44            	-3.454562e-03	8.814742e-01	1.036618e-01	4.837633e-02	5.528545e-02
45            	-3.489545e-03	8.849673e-01	1.116758e-01	5.234835e-02	5.932744e-02
46            	-3.521978e-03	8.897608e-01	1.194796e-01	5.621784e-02	6.326179e-02
47            	-3.543060e-03	8.945392e-01	1.261808e-01	5.954736e-02	6.663348e-02
48            	-3.547824e-03	8.977472e-01	1.310581e-01	6.198125e-02	6.907690e-02
49            	-3.543130e-03	8.994843e-01	1.340753e-01	6.349453e-02	7.058079e-02
50            	-3.536994e-03	9.005650e-01	1.352494e-01	6.408769e-02	7.116168e-02
51            	-3.535669e-03	9.016891e-01	1.347435e-01	6.383609e-02	7.090742e-02
52            	-3.540203e-03	9.027735e-01	1.330304e-01	6.297500e-02	7.005541e-02
53            	-3.554533e-03	9.044820e-01	1.303763e-01	6.163362e-02	6.874269e-02
54            	-3.579747e-03	9.071303e-01	1.270223e-01	5.993140e-02	6.709090e-02
55            	-3.616098e-03	9.109879e-01	1.231674e-01	5.796761e-02	6.519981e-02
