# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 5.493176e-01
# lRef        : 4.000000e+00
# Aref        : 2.562000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.718024e-04	3.945661e-02	-4.298211e-03	-2.320908e-03	-1.977303e-03
2             	-2.107731e-03	5.383274e-01	-6.460092e-02	-3.440819e-02	-3.019273e-02
3             	-3.054565e-03	9.315516e-01	-7.313678e-02	-3.962295e-02	-3.351382e-02
4             	-2.896741e-03	1.031337e+00	-4.443788e-02	-2.511568e-02	-1.932220e-02
5             	-2.356763e-03	9.807176e-01	-6.199579e-03	-5.456552e-03	-7.430268e-04
6             	-1.995396e-03	9.034852e-01	1.487661e-02	5.442907e-03	9.433699e-03
7             	-1.666445e-03	8.137677e-01	3.890805e-02	1.778758e-02	2.112047e-02
8             	-1.574482e-03	7.572620e-01	4.792333e-02	2.238718e-02	2.553615e-02
9             	-1.641822e-03	7.362480e-01	5.083892e-02	2.377764e-02	2.706128e-02
10            	-1.771149e-03	7.422971e-01	4.932959e-02	2.289364e-02	2.643594e-02
11            	-1.902228e-03	7.572008e-01	4.639598e-02	2.129576e-02	2.510022e-02
12            	-2.046292e-03	7.784935e-01	4.152877e-02	1.871809e-02	2.281068e-02
13            	-2.210810e-03	8.073599e-01	3.202261e-02	1.380049e-02	1.822211e-02
14            	-2.309572e-03	8.263214e-01	1.986778e-02	7.624316e-03	1.224346e-02
15            	-2.377424e-03	8.338909e-01	8.817672e-03	2.031412e-03	6.786260e-03
16            	-2.459284e-03	8.362992e-01	-5.444145e-04	-2.731491e-03	2.187077e-03
17            	-2.558467e-03	8.372721e-01	-8.193047e-03	-6.654991e-03	-1.538056e-03
18            	-2.663296e-03	8.374256e-01	-1.405214e-02	-9.689365e-03	-4.362773e-03
19            	-2.763429e-03	8.366969e-01	-1.752330e-02	-1.152508e-02	-5.998219e-03
20            	-2.861111e-03	8.358020e-01	-1.788771e-02	-1.180497e-02	-6.082746e-03
21            	-2.963256e-03	8.358524e-01	-1.437950e-02	-1.015301e-02	-4.226494e-03
22            	-3.059732e-03	8.373509e-01	-6.602445e-03	-6.360954e-03	-2.414906e-04
23            	-3.133358e-03	8.399898e-01	4.416946e-03	-9.248855e-04	5.341831e-03
24            	-3.182759e-03	8.436194e-01	1.700855e-02	5.321514e-03	1.168703e-02
25            	-3.216413e-03	8.478694e-01	2.977937e-02	1.167327e-02	1.810610e-02
26            	-3.242762e-03	8.519172e-01	4.246446e-02	1.798947e-02	2.447499e-02
27            	-3.266449e-03	8.559081e-01	5.409908e-02	2.378309e-02	3.031599e-02
28            	-3.287328e-03	8.594242e-01	6.298588e-02	2.820561e-02	3.478027e-02
29            	-3.303209e-03	8.620950e-01	6.945774e-02	3.142566e-02	3.803208e-02
30            	-3.313405e-03	8.639330e-01	7.391618e-02	3.364468e-02	4.027149e-02
31            	-3.319075e-03	8.648254e-01	7.681790e-02	3.508988e-02	4.172803e-02
32            	-3.323070e-03	8.646502e-01	7.860217e-02	3.597801e-02	4.262415e-02
33            	-3.330600e-03	8.635801e-01	7.989822e-02	3.661851e-02	4.327971e-02
34            	-3.342948e-03	8.616187e-01	8.155400e-02	3.743405e-02	4.411995e-02
35            	-3.355630e-03	8.587954e-01	8.434538e-02	3.881706e-02	4.552832e-02
36            	-3.364208e-03	8.554341e-01	8.896552e-02	4.111855e-02	4.784697e-02
37            	-3.370930e-03	8.520798e-01	9.604098e-02	4.464956e-02	5.139142e-02
38            	-3.380843e-03	8.495320e-01	1.061449e-01	4.969160e-02	5.645328e-02
39            	-3.397918e-03	8.483388e-01	1.185007e-01	5.585241e-02	6.264825e-02
40            	-3.423707e-03	8.488710e-01	1.326024e-01	6.287751e-02	6.972493e-02
41            	-3.455382e-03	8.506192e-01	1.480562e-01	7.057271e-02	7.748347e-02
42            	-3.487494e-03	8.533331e-01	1.639744e-01	7.849972e-02	8.547471e-02
43            	-3.517501e-03	8.573787e-01	1.795268e-01	8.624588e-02	9.328088e-02
44            	-3.542566e-03	8.623283e-01	1.933309e-01	9.312290e-02	1.002080e-01
45            	-3.561556e-03	8.675326e-01	2.047990e-01	9.883794e-02	1.059611e-01
46            	-3.564003e-03	8.708886e-01	2.133440e-01	1.031080e-01	1.102360e-01
47            	-3.549082e-03	8.717088e-01	2.195017e-01	1.062018e-01	1.132999e-01
48            	-3.524741e-03	8.703088e-01	2.239181e-01	1.084343e-01	1.154838e-01
49            	-3.503933e-03	8.677789e-01	2.266051e-01	1.097986e-01	1.168065e-01
50            	-3.496472e-03	8.655416e-01	2.277153e-01	1.103612e-01	1.173541e-01
51            	-3.503858e-03	8.642686e-01	2.271295e-01	1.100609e-01	1.170686e-01
52            	-3.519710e-03	8.636452e-01	2.244194e-01	1.086900e-01	1.157294e-01
53            	-3.536086e-03	8.633258e-01	2.196178e-01	1.062728e-01	1.133450e-01
54            	-3.553529e-03	8.638319e-01	2.127573e-01	1.028251e-01	1.099322e-01
55            	-3.570664e-03	8.652421e-01	2.040456e-01	9.845216e-02	1.055935e-01
56            	-3.584413e-03	8.670806e-01	1.941909e-01	9.351101e-02	1.006798e-01
57            	-3.592676e-03	8.688736e-01	1.840482e-01	8.843145e-02	9.561680e-02
58            	-3.599336e-03	8.708510e-01	1.742339e-01	8.351762e-02	9.071630e-02
59            	-3.606248e-03	8.730496e-01	1.645522e-01	7.866986e-02	8.588236e-02
60            	-3.613929e-03	8.755464e-01	1.542154e-01	7.349375e-02	8.072161e-02
61            	-3.621072e-03	8.780948e-01	1.432516e-01	6.800471e-02	7.524686e-02
62            	-3.628129e-03	8.808909e-01	1.323448e-01	6.254426e-02	6.980052e-02
63            	-3.638943e-03	8.846246e-01	1.217848e-01	5.725347e-02	6.453136e-02
64            	-3.649804e-03	8.888606e-01	1.128984e-01	5.279938e-02	6.009899e-02
65            	-3.651723e-03	8.918903e-01	1.075921e-01	5.014434e-02	5.744778e-02
66            	-3.648188e-03	8.935838e-01	1.073982e-01	5.005093e-02	5.734730e-02
67            	-3.640482e-03	8.934370e-01	1.134263e-01	5.307265e-02	6.035361e-02
68            	-3.635860e-03	8.921389e-01	1.262636e-01	5.949594e-02	6.676766e-02
69            	-3.640133e-03	8.906940e-01	1.447647e-01	6.874220e-02	7.602246e-02
70            	-3.660859e-03	8.904814e-01	1.666152e-01	7.964672e-02	8.696844e-02
71            	-3.707314e-03	8.927927e-01	1.894866e-01	9.103600e-02	9.845063e-02
72            	-3.771097e-03	8.972051e-01	2.110827e-01	1.017703e-01	1.093125e-01
73            	-3.826796e-03	9.012866e-01	2.294157e-01	1.108811e-01	1.185346e-01
74            	-3.853353e-03	9.026614e-01	2.438097e-01	1.180515e-01	1.257582e-01
75            	-3.858524e-03	9.025434e-01	2.515139e-01	1.218984e-01	1.296155e-01
76            	-3.842450e-03	9.016540e-01	2.487495e-01	1.205323e-01	1.282172e-01
77            	-3.775356e-03	8.973516e-01	2.379729e-01	1.152111e-01	1.227618e-01
78            	-3.667231e-03	8.888435e-01	2.251962e-01	1.089309e-01	1.162653e-01
79            	-3.556962e-03	8.801217e-01	2.108025e-01	1.018443e-01	1.089582e-01
80            	-3.480914e-03	8.751788e-01	1.945912e-01	9.381471e-02	1.007765e-01
81            	-3.438237e-03	8.733965e-01	1.788063e-01	8.596491e-02	9.284139e-02
82            	-3.417307e-03	8.730725e-01	1.654774e-01	7.932140e-02	8.615602e-02
83            	-3.404775e-03	8.725056e-01	1.549773e-01	7.408386e-02	8.089341e-02
84            	-3.398060e-03	8.721343e-01	1.470968e-01	7.015033e-02	7.694645e-02
85            	-3.402554e-03	8.726581e-01	1.416381e-01	6.741649e-02	7.422160e-02
86            	-3.424556e-03	8.748745e-01	1.377170e-01	6.543397e-02	7.228308e-02
87            	-3.465155e-03	8.793911e-01	1.344166e-01	6.374314e-02	7.067345e-02
88            	-3.523658e-03	8.869290e-01	1.312216e-01	6.208717e-02	6.913448e-02
89            	-3.593902e-03	8.972665e-01	1.280140e-01	6.041309e-02	6.760089e-02
90            	-3.667233e-03	9.096416e-01	1.250557e-01	5.886063e-02	6.619510e-02
91            	-3.728063e-03	9.215790e-01	1.224374e-01	5.749063e-02	6.494675e-02
92            	-3.761687e-03	9.302973e-01	1.198776e-01	5.617713e-02	6.370051e-02
93            	-3.759170e-03	9.339180e-01	1.170064e-01	5.474401e-02	6.226235e-02
94            	-3.721487e-03	9.321098e-01	1.145660e-01	5.356152e-02	6.100449e-02
95            	-3.662203e-03	9.260970e-01	1.135722e-01	5.312390e-02	6.044831e-02
96            	-3.594171e-03	9.177994e-01	1.150229e-01	5.391729e-02	6.110563e-02
97            	-3.527901e-03	9.090199e-01	1.197718e-01	5.635799e-02	6.341379e-02
98            	-3.474311e-03	9.009903e-01	1.284273e-01	6.073936e-02	6.768798e-02
99            	-3.449773e-03	8.958575e-01	1.412218e-01	6.716115e-02	7.406070e-02
100           	-3.472158e-03	8.960000e-01	1.578584e-01	7.545703e-02	8.240135e-02
101           	-3.539244e-03	9.016111e-01	1.752074e-01	8.406447e-02	9.114296e-02
102           	-3.615948e-03	9.077714e-01	1.911758e-01	9.197194e-02	9.920384e-02
103           	-3.677528e-03	9.115045e-01	2.045427e-01	9.859381e-02	1.059489e-01
104           	-3.722898e-03	9.128777e-01	2.132371e-01	1.028956e-01	1.103414e-01
105           	-3.756534e-03	9.124818e-01	2.155117e-01	1.039993e-01	1.115124e-01
106           	-3.764267e-03	9.089057e-01	2.072031e-01	9.983726e-02	1.073658e-01
107           	-3.730451e-03	9.002219e-01	1.850742e-01	8.880663e-02	9.626753e-02
108           	-3.663803e-03	8.891408e-01	1.515215e-01	7.209696e-02	7.942456e-02
109           	-3.598596e-03	8.802481e-01	1.183826e-01	5.559269e-02	6.278988e-02
110           	-3.549063e-03	8.741660e-01	9.246701e-02	4.268444e-02	4.978257e-02
111           	-3.508117e-03	8.695693e-01	7.194806e-02	3.246591e-02	3.948215e-02
112           	-3.468161e-03	8.657938e-01	5.617627e-02	2.461997e-02	3.155629e-02
113           	-3.443141e-03	8.649191e-01	4.565612e-02	1.938492e-02	2.627120e-02
114           	-3.442357e-03	8.680699e-01	4.085897e-02	1.698713e-02	2.387184e-02
115           	-3.476785e-03	8.753763e-01	4.255438e-02	1.780041e-02	2.475398e-02
116           	-3.548291e-03	8.861612e-01	5.278409e-02	2.284375e-02	2.994033e-02
117           	-3.640687e-03	8.971258e-01	7.280466e-02	3.276164e-02	4.004302e-02
118           	-3.736621e-03	9.060739e-01	9.999902e-02	4.626289e-02	5.373613e-02
119           	-3.827314e-03	9.124304e-01	1.302371e-01	6.129125e-02	6.894588e-02
120           	-3.908764e-03	9.175639e-01	1.597819e-01	7.598218e-02	8.379970e-02
121           	-3.968697e-03	9.214545e-01	1.851683e-01	8.861546e-02	9.655286e-02
122           	-4.002716e-03	9.233870e-01	2.047157e-01	9.835511e-02	1.063605e-01
123           	-4.015845e-03	9.231619e-01	2.178739e-01	1.049211e-01	1.129528e-01
