# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 3.923697e-02
# lRef        : 4.000000e+00
# Aref        : 2.562000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-2.020107e-03	4.708691e-01	-5.349662e-02	-2.876842e-02	-2.472820e-02
2             	-4.422310e-03	1.131301e+00	-1.125100e-01	-6.067730e-02	-5.183268e-02
3             	-4.220760e-03	1.225542e+00	-5.365850e-02	-3.105001e-02	-2.260849e-02
4             	-2.938075e-03	1.049136e+00	2.757283e-02	1.084834e-02	1.672449e-02
5             	-2.071348e-03	9.143570e-01	6.709127e-02	3.147429e-02	3.561698e-02
6             	-1.687732e-03	8.490257e-01	7.604765e-02	3.633609e-02	3.971156e-02
7             	-1.717795e-03	8.497567e-01	6.404980e-02	3.030711e-02	3.374270e-02
8             	-1.950923e-03	8.897730e-01	4.348032e-02	1.978924e-02	2.369108e-02
9             	-2.131730e-03	9.195092e-01	3.214219e-02	1.393937e-02	1.820282e-02
10            	-2.284016e-03	9.496794e-01	2.032239e-02	7.877180e-03	1.244521e-02
11            	-2.386980e-03	9.714855e-01	1.268737e-02	3.956706e-03	8.730666e-03
12            	-2.449579e-03	9.866574e-01	7.143316e-03	1.122079e-03	6.021237e-03
13            	-2.465349e-03	9.935035e-01	1.517468e-03	-1.706616e-03	3.224083e-03
14            	-2.417174e-03	9.859828e-01	-2.548341e-03	-3.691345e-03	1.143003e-03
15            	-2.375794e-03	9.782095e-01	-4.417718e-03	-4.584653e-03	1.669352e-04
16            	-2.355391e-03	9.727042e-01	-7.333337e-03	-6.022059e-03	-1.311278e-03
17            	-2.359439e-03	9.701854e-01	-1.160792e-02	-8.163397e-03	-3.444519e-03
18            	-2.383204e-03	9.706314e-01	-1.620301e-02	-1.048471e-02	-5.718301e-03
19            	-2.419016e-03	9.731331e-01	-2.002019e-02	-1.242911e-02	-7.591078e-03
