# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	4.325670e-01	1.000000e+00	3.871190e-01
2             	3.943500e-01	5.997300e-01	2.569720e-01	5.956980e-01
3             	4.529000e-02	4.872440e-01	1.560890e-01	4.598610e-01
4             	5.529840e-02	3.318250e-01	1.020630e-01	2.987990e-01
5             	8.815190e-02	2.575430e-01	7.834330e-02	2.383920e-01
6             	1.229130e-01	2.166840e-01	6.317860e-02	2.080520e-01
7             	1.345250e-01	1.830700e-01	5.426740e-02	1.757900e-01
8             	1.213260e-01	1.527660e-01	4.836140e-02	1.466190e-01
9             	1.074010e-01	1.277970e-01	4.251700e-02	1.170590e-01
10            	8.105320e-02	1.184230e-01	3.614190e-02	1.060940e-01
11            	6.435950e-02	1.092560e-01	3.044010e-02	1.011960e-01
12            	5.811600e-02	9.653990e-02	2.582530e-02	9.145120e-02
13            	5.644590e-02	8.228670e-02	2.260270e-02	7.923870e-02
14            	5.703610e-02	7.179060e-02	2.040750e-02	6.968960e-02
15            	6.204610e-02	6.510420e-02	1.886560e-02	6.338760e-02
16            	6.586870e-02	6.081800e-02	1.723010e-02	5.780780e-02
17            	6.889810e-02	5.732570e-02	1.569400e-02	5.340720e-02
18            	7.023240e-02	5.405170e-02	1.410160e-02	5.054340e-02
19            	7.138350e-02	5.123190e-02	1.248440e-02	4.832240e-02
20            	7.098720e-02	4.875360e-02	1.108350e-02	4.622470e-02
21            	6.998110e-02	4.650220e-02	1.026480e-02	4.430830e-02
22            	6.934740e-02	4.453640e-02	9.673900e-03	4.284970e-02
23            	7.110490e-02	4.325740e-02	9.420950e-03	4.235640e-02
24            	7.464770e-02	4.246370e-02	9.242050e-03	4.196110e-02
25            	7.687510e-02	4.181480e-02	9.043700e-03	4.131800e-02
26            	7.818440e-02	4.035660e-02	8.612430e-03	3.983910e-02
27            	7.836980e-02	3.891010e-02	8.335660e-03	3.832420e-02
28            	7.831390e-02	3.817000e-02	8.321680e-03	3.786430e-02
