# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	4.938870e-01	1.000000e+00	4.470720e-01
2             	4.198650e-01	5.999820e-01	2.570120e-01	5.959440e-01
3             	4.618010e-02	4.883490e-01	1.574000e-01	4.602110e-01
4             	5.564560e-02	3.324200e-01	1.030140e-01	2.991610e-01
5             	8.762220e-02	2.576000e-01	7.912560e-02	2.384540e-01
6             	1.211580e-01	2.165070e-01	6.384790e-02	2.080360e-01
7             	1.328520e-01	1.829870e-01	5.487370e-02	1.758960e-01
8             	1.210180e-01	1.529090e-01	4.891670e-02	1.466010e-01
9             	1.075130e-01	1.282180e-01	4.300940e-02	1.171490e-01
10            	8.135350e-02	1.190680e-01	3.658480e-02	1.064300e-01
11            	6.472690e-02	1.099820e-01	3.084220e-02	1.016610e-01
12            	5.889720e-02	9.722520e-02	2.618300e-02	9.182600e-02
13            	5.716060e-02	8.299200e-02	2.294810e-02	7.963230e-02
14            	5.827350e-02	7.249970e-02	2.080200e-02	7.023830e-02
15            	6.345480e-02	6.576480e-02	1.923940e-02	6.400400e-02
16            	6.709370e-02	6.152170e-02	1.757530e-02	5.846760e-02
17            	7.014770e-02	5.823010e-02	1.600510e-02	5.426100e-02
18            	7.165160e-02	5.511490e-02	1.433130e-02	5.151570e-02
19            	7.281390e-02	5.232090e-02	1.266490e-02	4.930440e-02
20            	7.224600e-02	4.976120e-02	1.129850e-02	4.727570e-02
21            	7.043810e-02	4.769720e-02	1.046570e-02	4.553580e-02
22            	7.069950e-02	4.547980e-02	9.888970e-03	4.359320e-02
23            	7.288680e-02	4.400660e-02	9.600180e-03	4.253020e-02
24            	7.598960e-02	4.292430e-02	9.382790e-03	4.194310e-02
25            	7.799310e-02	4.202380e-02	9.255060e-03	4.128000e-02
26            	7.886410e-02	4.080190e-02	8.998420e-03	4.028740e-02
27            	7.870530e-02	4.009620e-02	8.946140e-03	3.989990e-02
28            	7.735880e-02	3.974270e-02	9.004200e-03	3.962690e-02
