# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.337260e-01	5.468540e-01	2.303720e-01	5.615480e-01
3             	1.527120e-01	4.958450e-01	1.587950e-01	4.458620e-01
4             	9.833470e-02	3.513690e-01	1.150420e-01	3.104080e-01
5             	9.144330e-02	2.810740e-01	8.675890e-02	2.619210e-01
6             	1.399700e-01	2.380320e-01	6.796400e-02	2.324600e-01
7             	9.203070e-02	2.002090e-01	5.715990e-02	2.017340e-01
8             	8.053190e-02	1.676700e-01	5.090100e-02	1.619220e-01
9             	7.129930e-02	1.403890e-01	4.340460e-02	1.397430e-01
10            	6.449500e-02	1.209950e-01	3.612660e-02	1.277370e-01
11            	6.448300e-02	1.107960e-01	3.015250e-02	1.156440e-01
12            	6.427360e-02	1.028800e-01	2.617220e-02	1.026170e-01
13            	6.431660e-02	9.315440e-02	2.297270e-02	9.131660e-02
14            	6.197740e-02	8.321710e-02	2.050690e-02	8.360870e-02
15            	5.328710e-02	7.435220e-02	1.851810e-02	7.777050e-02
16            	4.940010e-02	6.841870e-02	1.707010e-02	7.332230e-02
17            	4.611850e-02	6.080980e-02	1.594810e-02	6.705200e-02
18            	4.351770e-02	5.627850e-02	1.445730e-02	6.181260e-02
19            	4.283660e-02	5.349240e-02	1.326820e-02	5.820830e-02
20            	4.457370e-02	4.775530e-02	1.202470e-02	5.209540e-02
21            	4.674710e-02	4.319020e-02	1.037440e-02	4.521240e-02
22            	4.709990e-02	3.906350e-02	8.923390e-03	3.913390e-02
23            	4.765570e-02	3.577520e-02	7.914010e-03	3.532670e-02
24            	4.750930e-02	3.305900e-02	7.248590e-03	3.316040e-02
25            	4.802840e-02	3.131930e-02	6.756430e-03	3.146020e-02
26            	4.628340e-02	2.918210e-02	6.486220e-03	2.999680e-02
27            	4.501280e-02	2.789850e-02	6.454070e-03	2.873750e-02
28            	4.414970e-02	2.724120e-02	6.427220e-03	2.855220e-02
29            	4.516510e-02	2.694450e-02	6.361210e-03	2.871770e-02
30            	4.627160e-02	2.713500e-02	6.070310e-03	2.862720e-02
31            	4.733140e-02	2.639250e-02	5.900280e-03	2.714050e-02
32            	4.878540e-02	2.571670e-02	5.823980e-03	2.581230e-02
33            	5.104560e-02	2.466270e-02	5.838310e-03	2.484230e-02
34            	5.428670e-02	2.460250e-02	5.931510e-03	2.467700e-02
35            	5.945460e-02	2.520750e-02	6.216140e-03	2.565260e-02
36            	6.358810e-02	2.714350e-02	6.676840e-03	2.808540e-02
37            	6.611550e-02	2.900940e-02	7.139130e-03	3.088750e-02
38            	6.578970e-02	3.025970e-02	7.528780e-03	3.269450e-02
