# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	2.961590e-01	1.000000e+00	2.282680e-01
2             	1.385510e-01	5.797090e-01	2.981350e-01	6.056850e-01
3             	3.607240e-02	4.452280e-01	1.491500e-01	4.654400e-01
4             	5.096480e-02	3.083190e-01	9.507010e-02	3.083190e-01
5             	1.255230e-01	2.621110e-01	7.277150e-02	2.508780e-01
6             	1.621060e-01	2.241980e-01	5.791940e-02	2.012640e-01
7             	1.251250e-01	1.826140e-01	4.875220e-02	1.616270e-01
8             	1.098160e-01	1.434000e-01	4.169750e-02	1.371590e-01
9             	6.591470e-02	1.142630e-01	3.375110e-02	1.119450e-01
10            	5.188940e-02	1.003200e-01	2.717640e-02	9.196310e-02
11            	4.356230e-02	8.851070e-02	2.276400e-02	7.930890e-02
12            	4.008470e-02	7.775470e-02	1.960980e-02	6.903590e-02
13            	3.842780e-02	6.737130e-02	1.739700e-02	5.918440e-02
14            	3.805090e-02	5.950330e-02	1.584920e-02	5.223150e-02
15            	3.892920e-02	5.272660e-02	1.455790e-02	4.739110e-02
16            	4.043750e-02	4.708490e-02	1.322920e-02	4.296720e-02
17            	4.230190e-02	4.232290e-02	1.197040e-02	3.917490e-02
18            	4.401200e-02	3.811610e-02	1.086600e-02	3.603080e-02
19            	4.666430e-02	3.479930e-02	9.844560e-03	3.352810e-02
20            	4.820020e-02	3.215180e-02	8.911700e-03	3.146810e-02
21            	4.993280e-02	2.979950e-02	8.099830e-03	2.954530e-02
22            	5.254830e-02	2.787490e-02	7.407120e-03	2.789920e-02
23            	5.569560e-02	2.616810e-02	6.881290e-03	2.633050e-02
24            	5.387130e-02	2.472420e-02	6.557330e-03	2.499680e-02
25            	4.798940e-02	2.323520e-02	6.336610e-03	2.377590e-02
26            	4.436370e-02	2.194960e-02	6.103760e-03	2.275140e-02
27            	4.167760e-02	2.073930e-02	5.938080e-03	2.194430e-02
28            	3.972070e-02	1.965190e-02	5.722240e-03	2.129010e-02
29            	3.769800e-02	1.881620e-02	5.629240e-03	2.069510e-02
30            	3.602080e-02	1.822120e-02	5.579480e-03	2.019830e-02
31            	3.513500e-02	1.791880e-02	5.574360e-03	2.002600e-02
32            	3.447180e-02	1.787620e-02	5.533070e-03	1.996970e-02
33            	3.345160e-02	1.781800e-02	5.393010e-03	1.971050e-02
34            	3.214410e-02	1.763380e-02	5.212020e-03	1.906360e-02
35            	3.094610e-02	1.746340e-02	5.067760e-03	1.828360e-02
36            	3.006160e-02	1.732450e-02	4.967810e-03	1.763870e-02
37            	2.980940e-02	1.740080e-02	4.912770e-03	1.730690e-02
38            	2.993950e-02	1.745220e-02	4.905220e-03	1.712240e-02
39            	3.033280e-02	1.751670e-02	4.931160e-03	1.712860e-02
40            	3.103810e-02	1.753660e-02	4.930410e-03	1.729950e-02
41            	3.176490e-02	1.738780e-02	4.905240e-03	1.740840e-02
42            	3.137100e-02	1.715770e-02	4.782950e-03	1.730900e-02
43            	3.030230e-02	1.680610e-02	4.620960e-03	1.712850e-02
44            	2.911720e-02	1.652450e-02	4.443000e-03	1.689990e-02
45            	2.777800e-02	1.643270e-02	4.336690e-03	1.666430e-02
46            	2.626050e-02	1.636720e-02	4.288850e-03	1.644750e-02
47            	2.505470e-02	1.633850e-02	4.292370e-03	1.623480e-02
48            	2.455840e-02	1.645710e-02	4.291900e-03	1.603190e-02
49            	2.452190e-02	1.648820e-02	4.306410e-03	1.588210e-02
50            	2.467340e-02	1.658420e-02	4.377200e-03	1.597540e-02
51            	2.503880e-02	1.682570e-02	4.498600e-03	1.629340e-02
52            	2.572830e-02	1.720820e-02	4.630360e-03	1.680640e-02
53            	2.629840e-02	1.793740e-02	4.742480e-03	1.704160e-02
54            	2.646950e-02	1.897350e-02	4.877600e-03	1.723910e-02
55            	2.599730e-02	2.007740e-02	5.030930e-03	1.725080e-02
56            	2.532820e-02	2.058330e-02	5.030270e-03	1.695500e-02
57            	2.502040e-02	2.094760e-02	5.071610e-03	1.693250e-02
58            	2.550340e-02	2.108360e-02	5.018210e-03	1.707600e-02
59            	2.594730e-02	2.113900e-02	5.072450e-03	1.711200e-02
60            	2.698380e-02	2.152800e-02	5.096620e-03	1.772060e-02
61            	2.819350e-02	2.242750e-02	5.199500e-03	1.902370e-02
62            	2.888290e-02	2.353870e-02	5.355050e-03	2.033420e-02
63            	2.936910e-02	2.488570e-02	5.615480e-03	2.128110e-02
64            	3.005000e-02	2.647070e-02	5.931880e-03	2.214450e-02
65            	3.057390e-02	2.816180e-02	6.271210e-03	2.278810e-02
66            	3.114590e-02	2.996820e-02	6.639070e-03	2.373620e-02
67            	3.237190e-02	3.162500e-02	7.033730e-03	2.482120e-02
68            	3.359030e-02	3.268140e-02	7.255200e-03	2.602930e-02
69            	3.480200e-02	3.325320e-02	7.458620e-03	2.701880e-02
70            	3.648670e-02	3.380750e-02	7.610160e-03	2.823410e-02
71            	3.721040e-02	3.357980e-02	7.864240e-03	2.954590e-02
72            	3.753360e-02	3.332420e-02	7.965280e-03	3.056010e-02
73            	3.858740e-02	3.273990e-02	8.020440e-03	3.106070e-02
74            	3.874390e-02	3.245300e-02	8.079920e-03	3.109200e-02
75            	3.740000e-02	3.149240e-02	7.899820e-03	3.030070e-02
76            	3.554500e-02	3.015410e-02	7.559980e-03	2.810290e-02
77            	3.430150e-02	2.866810e-02	7.165470e-03	2.603260e-02
78            	3.400030e-02	2.702350e-02	6.648260e-03	2.426990e-02
79            	3.426830e-02	2.541170e-02	6.139040e-03	2.260820e-02
80            	3.434440e-02	2.396110e-02	5.643080e-03	2.114310e-02
81            	3.397030e-02	2.281010e-02	5.379460e-03	2.019120e-02
82            	3.268520e-02	2.198500e-02	5.165320e-03	1.955990e-02
83            	3.072590e-02	2.132950e-02	4.904350e-03	1.898970e-02
84            	2.877460e-02	2.103620e-02	4.659470e-03	1.840120e-02
85            	2.701720e-02	2.088850e-02	4.493400e-03	1.789580e-02
86            	2.581220e-02	2.053350e-02	4.377380e-03	1.745230e-02
87            	2.510010e-02	2.044700e-02	4.407060e-03	1.723380e-02
88            	2.494820e-02	2.074840e-02	4.508090e-03	1.734170e-02
89            	2.567700e-02	2.153860e-02	4.644880e-03	1.793970e-02
90            	2.750680e-02	2.261910e-02	4.797060e-03	1.880070e-02
91            	2.969750e-02	2.345080e-02	5.052830e-03	1.998320e-02
92            	3.170820e-02	2.379330e-02	5.256230e-03	2.100080e-02
93            	3.303270e-02	2.365260e-02	5.281540e-03	2.140930e-02
94            	3.287980e-02	2.394370e-02	5.292360e-03	2.153280e-02
95            	3.210140e-02	2.444740e-02	5.325190e-03	2.098800e-02
96            	3.019970e-02	2.505940e-02	5.443290e-03	2.013310e-02
97            	2.902910e-02	2.561350e-02	5.571640e-03	1.964350e-02
98            	2.889380e-02	2.585050e-02	5.735500e-03	1.958820e-02
99            	3.011480e-02	2.535580e-02	5.659520e-03	1.953550e-02
100           	3.079060e-02	2.450760e-02	5.614580e-03	1.923360e-02
101           	3.171850e-02	2.386470e-02	5.482250e-03	1.939560e-02
102           	3.247270e-02	2.363680e-02	5.389460e-03	1.992670e-02
103           	3.240610e-02	2.396860e-02	5.411070e-03	2.055850e-02
104           	3.173190e-02	2.475060e-02	5.576820e-03	2.084540e-02
105           	3.117050e-02	2.596840e-02	5.907220e-03	2.123290e-02
106           	3.145470e-02	2.818480e-02	6.333260e-03	2.237050e-02
107           	3.265250e-02	3.067340e-02	6.909060e-03	2.383790e-02
108           	3.537940e-02	3.298140e-02	7.562340e-03	2.556460e-02
109           	3.732420e-02	3.500640e-02	8.178280e-03	2.730880e-02
110           	3.900300e-02	3.634270e-02	8.592540e-03	2.876380e-02
111           	4.048080e-02	3.727450e-02	8.744390e-03	3.041390e-02
112           	4.183360e-02	3.766690e-02	8.707390e-03	3.196530e-02
113           	4.258800e-02	3.670950e-02	8.615960e-03	3.271100e-02
114           	4.258370e-02	3.608730e-02	8.651570e-03	3.283530e-02
115           	4.205030e-02	3.630650e-02	8.746790e-03	3.275790e-02
116           	4.135960e-02	3.739000e-02	8.856210e-03	3.299530e-02
117           	4.038180e-02	3.815690e-02	8.855050e-03	3.291330e-02
118           	3.935040e-02	3.805360e-02	8.761100e-03	3.178590e-02
119           	3.854790e-02	3.750360e-02	8.711490e-03	3.054700e-02
120           	3.870200e-02	3.604720e-02	8.493990e-03	2.933480e-02
121           	4.012050e-02	3.501140e-02	8.250610e-03	2.857150e-02
122           	4.286300e-02	3.489470e-02	8.273750e-03	2.865040e-02
123           	4.449980e-02	3.473390e-02	8.372810e-03	2.927430e-02
124           	4.532480e-02	3.420780e-02	8.197260e-03	2.870790e-02
125           	4.376300e-02	3.328260e-02	7.835300e-03	2.724020e-02
126           	4.107950e-02	3.269370e-02	7.490580e-03	2.577820e-02
127           	3.899180e-02	3.188130e-02	7.259600e-03	2.488120e-02
128           	3.821460e-02	3.180490e-02	7.287810e-03	2.493120e-02
129           	3.969710e-02	3.166930e-02	7.394150e-03	2.521240e-02
130           	4.136870e-02	3.136940e-02	7.395960e-03	2.513570e-02
131           	4.272320e-02	3.153780e-02	7.382190e-03	2.537390e-02
132           	4.230190e-02	3.112360e-02	7.187750e-03	2.565890e-02
133           	4.083090e-02	3.044240e-02	7.016770e-03	2.566440e-02
134           	3.936110e-02	3.037300e-02	7.002400e-03	2.579860e-02
135           	3.806290e-02	3.132320e-02	7.124160e-03	2.667710e-02
136           	3.801160e-02	3.301570e-02	7.415560e-03	2.782140e-02
137           	3.840470e-02	3.465410e-02	7.739100e-03	2.826410e-02
138           	3.885060e-02	3.577670e-02	8.025310e-03	2.867370e-02
139           	4.003970e-02	3.581930e-02	8.222080e-03	2.852330e-02
140           	4.051870e-02	3.605890e-02	8.244180e-03	2.947610e-02
141           	4.073120e-02	3.564870e-02	8.096830e-03	3.018630e-02
142           	4.125960e-02	3.503580e-02	8.081420e-03	3.078800e-02
143           	4.145150e-02	3.507450e-02	8.226720e-03	3.183130e-02
144           	4.111340e-02	3.450860e-02	8.334200e-03	3.145580e-02
145           	4.070570e-02	3.509780e-02	8.418750e-03	3.137270e-02
146           	4.178490e-02	3.670670e-02	8.650190e-03	3.205860e-02
