# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 7.847395e-03
# lRef        : 4.000000e+00
# Aref        : 2.562000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.01          	-6.584266e-02	2.292489e+01	-8.958748e-01	-5.137801e-01	-3.820948e-01
0.02          	-5.582547e-02	1.870471e+01	-7.291497e-01	-4.204003e-01	-3.087494e-01
0.03          	-4.929765e-02	1.622636e+01	-6.359726e-01	-3.672840e-01	-2.686887e-01
0.04          	-4.472701e-02	1.456599e+01	-5.703536e-01	-3.299038e-01	-2.404498e-01
0.05          	-4.128646e-02	1.334394e+01	-5.187985e-01	-3.006857e-01	-2.181128e-01
0.06          	-3.858533e-02	1.239845e+01	-4.765583e-01	-2.768645e-01	-1.996938e-01
0.07          	-3.638497e-02	1.163695e+01	-4.410098e-01	-2.568899e-01	-1.841199e-01
0.08          	-3.455039e-02	1.100603e+01	-4.106284e-01	-2.398646e-01	-1.707638e-01
0.09          	-3.298589e-02	1.047135e+01	-3.846878e-01	-2.253298e-01	-1.593580e-01
0.1           	-3.163118e-02	1.001035e+01	-3.623263e-01	-2.127943e-01	-1.495320e-01
0.11          	-3.044429e-02	9.607302e+00	-3.428956e-01	-2.018921e-01	-1.410035e-01
0.12          	-2.939203e-02	9.250773e+00	-3.258626e-01	-1.923233e-01	-1.335393e-01
0.13          	-2.844979e-02	8.932336e+00	-3.109544e-01	-1.839270e-01	-1.270274e-01
0.14          	-2.760057e-02	8.645464e+00	-2.978219e-01	-1.765115e-01	-1.213104e-01
0.15          	-2.682986e-02	8.385138e+00	-2.861645e-01	-1.699121e-01	-1.162524e-01
0.16          	-2.612591e-02	8.147416e+00	-2.757574e-01	-1.640046e-01	-1.117528e-01
0.17          	-2.547944e-02	7.929104e+00	-2.663742e-01	-1.586665e-01	-1.077077e-01
0.18          	-2.488265e-02	7.727647e+00	-2.578794e-01	-1.538223e-01	-1.040570e-01
0.19          	-2.432917e-02	7.541002e+00	-2.501548e-01	-1.494066e-01	-1.007483e-01
0.2           	-2.381361e-02	7.367430e+00	-2.430698e-01	-1.453485e-01	-9.772132e-02
0.21          	-2.333167e-02	7.205467e+00	-2.366017e-01	-1.416325e-01	-9.496918e-02
0.22          	-2.287944e-02	7.053908e+00	-2.306875e-01	-1.382232e-01	-9.246431e-02
0.23          	-2.245369e-02	6.911678e+00	-2.252241e-01	-1.350658e-01	-9.015839e-02
0.24          	-2.205177e-02	6.777852e+00	-2.201604e-01	-1.321320e-01	-8.802844e-02
0.25          	-2.167122e-02	6.651639e+00	-2.154820e-01	-1.294122e-01	-8.606979e-02
0.26          	-2.131001e-02	6.532325e+00	-2.111345e-01	-1.268773e-01	-8.425726e-02
0.27          	-2.096628e-02	6.419345e+00	-2.070753e-01	-1.245039e-01	-8.257139e-02
0.28          	-2.063900e-02	6.312195e+00	-2.032536e-01	-1.222658e-01	-8.098782e-02
0.29          	-2.032643e-02	6.210375e+00	-1.996695e-01	-1.201612e-01	-7.950835e-02
0.3           	-2.002740e-02	6.113469e+00	-1.963124e-01	-1.181836e-01	-7.812880e-02
0.31          	-1.974111e-02	6.021098e+00	-1.931521e-01	-1.163172e-01	-7.683496e-02
0.32          	-1.946638e-02	5.932908e+00	-1.901734e-01	-1.145531e-01	-7.562032e-02
0.33          	-1.920268e-02	5.848625e+00	-1.873535e-01	-1.128794e-01	-7.447406e-02
0.34          	-1.894910e-02	5.767964e+00	-1.846814e-01	-1.112898e-01	-7.339162e-02
0.35          	-1.870501e-02	5.690681e+00	-1.821427e-01	-1.097764e-01	-7.236637e-02
0.36          	-1.846980e-02	5.616545e+00	-1.797377e-01	-1.083387e-01	-7.139906e-02
0.37          	-1.824288e-02	5.545353e+00	-1.774650e-01	-1.069754e-01	-7.048963e-02
0.38          	-1.802386e-02	5.476930e+00	-1.753099e-01	-1.056788e-01	-6.963110e-02
0.39          	-1.781215e-02	5.411108e+00	-1.732610e-01	-1.044426e-01	-6.881834e-02
0.4           	-1.760744e-02	5.347729e+00	-1.713045e-01	-1.032597e-01	-6.804483e-02
0.41          	-1.740928e-02	5.286648e+00	-1.694338e-01	-1.021262e-01	-6.730762e-02
0.42          	-1.721741e-02	5.227739e+00	-1.676487e-01	-1.010418e-01	-6.660695e-02
0.43          	-1.703152e-02	5.170878e+00	-1.659450e-01	-1.000040e-01	-6.594100e-02
0.44          	-1.685121e-02	5.115954e+00	-1.643143e-01	-9.900837e-02	-6.530594e-02
0.45          	-1.667625e-02	5.062864e+00	-1.627502e-01	-9.805137e-02	-6.469887e-02
0.46          	-1.650632e-02	5.011508e+00	-1.612594e-01	-9.713604e-02	-6.412340e-02
0.47          	-1.634118e-02	4.961803e+00	-1.598358e-01	-9.625905e-02	-6.357670e-02
0.48          	-1.618067e-02	4.913658e+00	-1.584712e-01	-9.541627e-02	-6.305494e-02
0.49          	-1.602464e-02	4.866996e+00	-1.571661e-01	-9.460770e-02	-6.255843e-02
0.5           	-1.587279e-02	4.821748e+00	-1.559054e-01	-9.382547e-02	-6.207989e-02
0.51          	-1.572488e-02	4.777839e+00	-1.546950e-01	-9.307238e-02	-6.162263e-02
0.52          	-1.558082e-02	4.735218e+00	-1.535305e-01	-9.234606e-02	-6.118443e-02
0.53          	-1.544045e-02	4.693827e+00	-1.524224e-01	-9.165166e-02	-6.077077e-02
0.54          	-1.530356e-02	4.653602e+00	-1.513586e-01	-9.098285e-02	-6.037573e-02
0.55          	-1.517000e-02	4.614489e+00	-1.503292e-01	-9.033460e-02	-5.999461e-02
0.56          	-1.503967e-02	4.576441e+00	-1.493424e-01	-8.971088e-02	-5.963154e-02
0.57          	-1.491243e-02	4.539415e+00	-1.483932e-01	-8.910901e-02	-5.928416e-02
0.58          	-1.478817e-02	4.503365e+00	-1.474778e-01	-8.852705e-02	-5.895071e-02
0.59          	-1.466672e-02	4.468245e+00	-1.465916e-01	-8.796250e-02	-5.862906e-02
0.6           	-1.454791e-02	4.434014e+00	-1.457360e-01	-8.741590e-02	-5.832007e-02
0.61          	-1.443173e-02	4.400643e+00	-1.449062e-01	-8.688485e-02	-5.802139e-02
0.62          	-1.431809e-02	4.368096e+00	-1.441045e-01	-8.637034e-02	-5.773415e-02
0.63          	-1.420689e-02	4.336337e+00	-1.433266e-01	-8.587019e-02	-5.745641e-02
0.64          	-1.409800e-02	4.305332e+00	-1.425743e-01	-8.538515e-02	-5.718915e-02
0.65          	-1.399135e-02	4.275053e+00	-1.418463e-01	-8.491451e-02	-5.693181e-02
0.66          	-1.388690e-02	4.245473e+00	-1.411445e-01	-8.445915e-02	-5.668535e-02
0.67          	-1.378456e-02	4.216576e+00	-1.404621e-01	-8.401559e-02	-5.644646e-02
0.68          	-1.368424e-02	4.188333e+00	-1.397963e-01	-8.358241e-02	-5.621394e-02
0.69          	-1.358593e-02	4.160722e+00	-1.391498e-01	-8.316084e-02	-5.598898e-02
0.7           	-1.348952e-02	4.133715e+00	-1.385227e-01	-8.275089e-02	-5.577184e-02
0.71          	-1.339498e-02	4.107297e+00	-1.379138e-01	-8.235189e-02	-5.556194e-02
0.72          	-1.330219e-02	4.081445e+00	-1.373188e-01	-8.196159e-02	-5.535721e-02
0.73          	-1.321111e-02	4.056141e+00	-1.367399e-01	-8.158106e-02	-5.515884e-02
0.74          	-1.312169e-02	4.031366e+00	-1.361757e-01	-8.120955e-02	-5.496617e-02
0.75          	-1.303388e-02	4.007105e+00	-1.356284e-01	-8.084807e-02	-5.478030e-02
0.76          	-1.294764e-02	3.983336e+00	-1.350980e-01	-8.049665e-02	-5.460136e-02
0.77          	-1.286293e-02	3.960049e+00	-1.345822e-01	-8.015401e-02	-5.442815e-02
0.78          	-1.277971e-02	3.937223e+00	-1.340802e-01	-7.981980e-02	-5.426038e-02
0.79          	-1.269790e-02	3.914845e+00	-1.335932e-01	-7.949449e-02	-5.409869e-02
0.8           	-1.261749e-02	3.892898e+00	-1.331213e-01	-7.917812e-02	-5.394315e-02
0.81          	-1.253850e-02	3.871375e+00	-1.326614e-01	-7.886921e-02	-5.379221e-02
0.82          	-1.246089e-02	3.850261e+00	-1.322142e-01	-7.856799e-02	-5.364620e-02
0.83          	-1.238458e-02	3.829545e+00	-1.317784e-01	-7.827378e-02	-5.350463e-02
0.84          	-1.230950e-02	3.809215e+00	-1.313541e-01	-7.798654e-02	-5.336754e-02
0.85          	-1.223561e-02	3.789254e+00	-1.309408e-01	-7.770599e-02	-5.323477e-02
0.86          	-1.216285e-02	3.769651e+00	-1.305373e-01	-7.743149e-02	-5.310578e-02
0.87          	-1.209126e-02	3.750401e+00	-1.301455e-01	-7.716400e-02	-5.298148e-02
0.88          	-1.202084e-02	3.731495e+00	-1.297616e-01	-7.690165e-02	-5.285998e-02
0.89          	-1.195154e-02	3.712920e+00	-1.293819e-01	-7.664249e-02	-5.273942e-02
0.9           	-1.188330e-02	3.694668e+00	-1.290073e-01	-7.638694e-02	-5.262034e-02
