# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1.19904e-05   	1.000000e+00	2.655180e-01	1.000000e+00	1.540810e-01
2.63616e-05   	7.105260e-03	3.234500e-01	9.254250e-01	6.570450e-02
4.35873e-05   	9.700940e-01	1.849890e-03	1.798050e-04	2.353820e-04
6.42437e-05   	9.987710e-01	6.205710e-05	2.521150e-06	8.685780e-06
8.90212e-05   	9.987700e-01	6.187210e-05	2.630380e-06	8.674540e-06
0.000118695   	9.987670e-01	6.182590e-05	2.760940e-06	8.679630e-06
0.000154239   	9.987600e-01	6.211050e-05	2.923670e-06	8.734610e-06
0.000196861   	9.987480e-01	6.272630e-05	3.123660e-06	8.840070e-06
0.000247919   	9.987350e-01	6.356240e-05	3.359910e-06	8.982420e-06
0.00030887    	9.987200e-01	6.470490e-05	3.634970e-06	9.173900e-06
0.000381736   	9.986940e-01	6.674320e-05	3.979500e-06	9.497770e-06
0.000469174   	9.986560e-01	6.971700e-05	4.408340e-06	9.966450e-06
0.000573909   	9.986170e-01	7.328180e-05	4.910990e-06	1.054410e-05
0.00069959    	9.985620e-01	7.836800e-05	5.534900e-06	1.135080e-05
0.000849596   	9.985050e-01	8.454730e-05	6.262310e-06	1.232760e-05
0.00102902    	9.983840e-01	9.303510e-05	7.183080e-06	1.365710e-05
0.00124261    	9.981940e-01	1.033820e-04	8.269170e-06	1.526740e-05
0.00149282    	9.979990e-01	1.149300e-04	9.430410e-06	1.706580e-05
0.00178617    	9.977630e-01	1.299020e-04	1.082110e-05	1.938870e-05
0.00212842    	9.975020e-01	1.474360e-04	1.238370e-05	2.210350e-05
0.002522      	9.972400e-01	1.661550e-04	1.398740e-05	2.500590e-05
0.00298937    	9.968390e-01	1.943080e-04	1.632440e-05	2.934240e-05
0.00352865    	9.964910e-01	2.211380e-04	1.848930e-05	3.350910e-05
0.00417578    	9.959330e-01	2.620310e-04	2.177010e-05	3.985560e-05
0.00490381    	9.955910e-01	2.910610e-04	2.398370e-05	4.447040e-05
0.00575318    	9.950190e-01	3.347970e-04	2.737740e-05	5.138550e-05
0.00660254    	9.951800e-01	3.299510e-04	2.673990e-05	5.089680e-05
0.00745191    	9.952900e-01	3.242630e-04	2.614400e-05	5.022830e-05
0.00830127    	9.953920e-01	3.189790e-04	2.559420e-05	4.960530e-05
0.00915064    	9.954870e-01	3.140590e-04	2.508510e-05	4.902220e-05
0.01          	9.955740e-01	3.094670e-04	2.461200e-05	4.847580e-05
0.011         	9.948960e-01	3.592620e-04	2.845740e-05	5.646780e-05
0.012125      	9.944250e-01	3.993250e-04	3.138740e-05	6.303030e-05
0.0134375     	9.936760e-01	4.594390e-04	3.586020e-05	7.283480e-05
0.01475       	9.938450e-01	4.528750e-04	3.505700e-05	7.212620e-05
0.0160625     	9.939750e-01	4.451800e-04	3.429930e-05	7.118280e-05
0.017375      	9.940930e-01	4.380710e-04	3.360110e-05	7.030770e-05
0.0186875     	9.942000e-01	4.314860e-04	3.295490e-05	6.949320e-05
0.02          	9.942990e-01	4.253640e-04	3.235450e-05	6.873280e-05
0.0214286     	9.939030e-01	4.567260e-04	3.460610e-05	7.403530e-05
0.0231429     	9.928400e-01	5.413820e-04	4.079680e-05	8.807270e-05
0.0248571     	9.929870e-01	5.350560e-04	4.000100e-05	8.739180e-05
0.0265714     	9.931040e-01	5.271470e-04	3.923940e-05	8.639800e-05
0.0282857     	9.932110e-01	5.197960e-04	3.853150e-05	8.547250e-05
0.03          	9.933090e-01	5.129380e-04	3.787110e-05	8.460810e-05
0.032         	9.923250e-01	5.908380e-04	4.346080e-05	9.776030e-05
0.034         	9.924480e-01	5.845080e-04	4.269840e-05	9.705190e-05
0.036         	9.925530e-01	5.768760e-04	4.196640e-05	9.607970e-05
0.038         	9.926500e-01	5.697360e-04	4.128080e-05	9.516860e-05
0.04          	9.927410e-01	5.630350e-04	4.063670e-05	9.431170e-05
0.042         	9.928250e-01	5.567260e-04	4.002970e-05	9.350400e-05
0.044         	9.929040e-01	5.507720e-04	3.945630e-05	9.273980e-05
0.046         	9.929790e-01	5.451330e-04	3.891340e-05	9.201520e-05
0.048         	9.930500e-01	5.397870e-04	3.839790e-05	9.132610e-05
0.05          	9.931160e-01	5.347000e-04	3.790760e-05	9.067020e-05
0.052         	9.931800e-01	5.298520e-04	3.744030e-05	9.004530e-05
0.054         	9.932410e-01	5.252210e-04	3.699400e-05	8.944800e-05
0.056         	9.933000e-01	5.207970e-04	3.656710e-05	8.887670e-05
0.058         	9.933560e-01	5.165580e-04	3.615800e-05	8.832840e-05
0.06          	9.934090e-01	5.124900e-04	3.576560e-05	8.780110e-05
0.062         	9.934610e-01	5.085780e-04	3.538840e-05	8.729310e-05
0.064         	9.935100e-01	5.048110e-04	3.502560e-05	8.680330e-05
0.066         	9.935570e-01	5.011800e-04	3.467580e-05	8.633000e-05
0.068         	9.936020e-01	4.976740e-04	3.433880e-05	8.587210e-05
0.07          	9.936460e-01	4.942860e-04	3.401350e-05	8.542840e-05
