# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 7.847395e-02
# lRef        : 4.000000e+00
# Aref        : 2.562000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.104953e-03	2.537416e-01	-2.763494e-02	-1.492242e-02	-1.271252e-02
2             	-3.364213e-03	8.863693e-01	-1.128333e-01	-5.978087e-02	-5.305245e-02
3             	-3.809313e-03	1.120243e+00	-1.043848e-01	-5.600173e-02	-4.838311e-02
4             	-3.171581e-03	1.091441e+00	-5.629966e-02	-3.132141e-02	-2.497825e-02
5             	-2.453873e-03	9.983901e-01	-3.713546e-03	-4.310646e-03	5.971005e-04
6             	-2.068791e-03	9.321821e-01	2.053841e-02	8.200414e-03	1.233800e-02
7             	-1.778209e-03	8.693129e-01	4.438640e-02	2.041499e-02	2.397141e-02
8             	-1.748509e-03	8.433929e-01	4.402387e-02	2.026343e-02	2.376044e-02
9             	-1.897729e-03	8.542573e-01	3.304166e-02	1.462310e-02	1.841856e-02
10            	-2.049181e-03	8.718377e-01	2.150464e-02	8.703137e-03	1.280150e-02
11            	-2.165760e-03	8.864238e-01	1.374200e-02	4.705238e-03	9.036758e-03
12            	-2.270030e-03	8.991506e-01	8.530380e-03	1.995160e-03	6.535219e-03
13            	-2.349652e-03	9.094099e-01	4.328391e-03	-1.854559e-04	4.513847e-03
14            	-2.396276e-03	9.153054e-01	4.692891e-04	-2.161632e-03	2.630921e-03
15            	-2.391011e-03	9.099330e-01	-3.656177e-03	-4.219100e-03	5.629221e-04
16            	-2.389025e-03	9.100808e-01	-5.922166e-03	-5.350108e-03	-5.720583e-04
17            	-2.397661e-03	9.092412e-01	-7.643530e-03	-6.219426e-03	-1.424104e-03
18            	-2.423299e-03	9.099022e-01	-9.841780e-03	-7.344189e-03	-2.497591e-03
19            	-2.461170e-03	9.115700e-01	-1.268713e-02	-8.804736e-03	-3.882396e-03
20            	-2.506248e-03	9.138392e-01	-1.589358e-02	-1.045304e-02	-5.440542e-03
21            	-2.553403e-03	9.163293e-01	-1.872284e-02	-1.191482e-02	-6.808015e-03
22            	-2.598751e-03	9.187445e-01	-2.029063e-02	-1.274407e-02	-7.546566e-03
23            	-2.642984e-03	9.208884e-01	-1.974559e-02	-1.251578e-02	-7.229809e-03
24            	-2.682592e-03	9.228818e-01	-1.690810e-02	-1.113664e-02	-5.771460e-03
25            	-2.715738e-03	9.247798e-01	-1.265051e-02	-9.040995e-03	-3.609519e-03
26            	-2.746359e-03	9.267237e-01	-7.675444e-03	-6.584081e-03	-1.091363e-03
27            	-2.776430e-03	9.289724e-01	-2.602054e-03	-4.077457e-03	1.475403e-03
28            	-2.806278e-03	9.316858e-01	2.079118e-03	-1.766719e-03	3.845837e-03
29            	-2.833099e-03	9.345186e-01	5.915874e-03	1.248374e-04	5.791036e-03
30            	-2.854072e-03	9.369189e-01	8.929325e-03	1.610591e-03	7.318734e-03
31            	-2.866584e-03	9.383844e-01	1.106814e-02	2.667484e-03	8.400652e-03
32            	-2.870245e-03	9.388227e-01	1.228720e-02	3.273354e-03	9.013844e-03
33            	-2.867153e-03	9.384182e-01	1.269198e-02	3.478839e-03	9.213146e-03
34            	-2.858165e-03	9.372533e-01	1.228740e-02	3.285533e-03	9.001862e-03
35            	-2.845691e-03	9.356151e-01	1.130145e-02	2.805034e-03	8.496416e-03
36            	-2.832471e-03	9.336910e-01	1.039081e-02	2.362935e-03	8.027877e-03
37            	-2.821187e-03	9.317862e-01	1.000375e-02	2.180691e-03	7.823064e-03
38            	-2.812851e-03	9.299417e-01	1.047830e-02	2.426298e-03	8.052001e-03
39            	-2.808825e-03	9.283637e-01	1.190172e-02	3.142033e-03	8.759684e-03
40            	-2.809273e-03	9.271056e-01	1.417761e-02	4.279531e-03	9.898076e-03
41            	-2.817533e-03	9.266735e-01	1.700463e-02	5.684783e-03	1.131985e-02
42            	-2.837944e-03	9.277963e-01	1.975492e-02	7.039518e-03	1.271541e-02
43            	-2.871596e-03	9.313121e-01	2.175561e-02	8.006210e-03	1.374940e-02
44            	-2.908203e-03	9.361549e-01	2.258797e-02	8.385782e-03	1.420219e-02
45            	-2.936156e-03	9.406061e-01	2.275612e-02	8.441904e-03	1.431422e-02
46            	-2.954796e-03	9.442484e-01	2.298321e-02	8.536807e-03	1.444640e-02
47            	-2.965127e-03	9.467084e-01	2.355323e-02	8.811486e-03	1.474174e-02
48            	-2.970111e-03	9.482047e-01	2.439259e-02	9.226184e-03	1.516641e-02
49            	-2.972044e-03	9.489671e-01	2.533613e-02	9.696022e-03	1.564011e-02
50            	-2.972241e-03	9.490771e-01	2.616996e-02	1.011274e-02	1.605722e-02
51            	-2.971321e-03	9.484597e-01	2.684848e-02	1.045292e-02	1.639556e-02
52            	-2.967870e-03	9.468455e-01	2.728559e-02	1.067492e-02	1.661066e-02
53            	-2.962712e-03	9.442840e-01	2.734027e-02	1.070742e-02	1.663285e-02
54            	-2.959339e-03	9.413886e-01	2.692736e-02	1.050434e-02	1.642302e-02
55            	-2.960780e-03	9.388181e-01	2.616282e-02	1.012063e-02	1.604219e-02
56            	-2.968877e-03	9.370935e-01	2.520603e-02	9.634137e-03	1.557189e-02
57            	-2.984214e-03	9.364808e-01	2.422174e-02	9.126656e-03	1.509508e-02
58            	-3.003982e-03	9.368168e-01	2.333857e-02	8.665303e-03	1.467327e-02
59            	-3.026714e-03	9.378222e-01	2.264452e-02	8.295545e-03	1.434897e-02
60            	-3.049481e-03	9.390527e-01	2.229123e-02	8.096137e-03	1.419510e-02
61            	-3.070218e-03	9.401536e-01	2.242891e-02	8.144236e-03	1.428467e-02
62            	-3.089205e-03	9.412235e-01	2.323525e-02	8.528420e-03	1.470683e-02
63            	-3.109743e-03	9.430582e-01	2.456315e-02	9.171834e-03	1.539132e-02
64            	-3.135455e-03	9.464841e-01	2.635415e-02	1.004162e-02	1.631253e-02
65            	-3.165932e-03	9.514860e-01	2.852924e-02	1.109869e-02	1.743055e-02
66            	-3.199590e-03	9.577256e-01	3.085838e-02	1.222960e-02	1.862878e-02
67            	-3.231061e-03	9.641178e-01	3.300028e-02	1.326908e-02	1.973120e-02
68            	-3.256094e-03	9.696738e-01	3.456572e-02	1.402676e-02	2.053895e-02
69            	-3.274424e-03	9.741233e-01	3.536276e-02	1.440695e-02	2.095580e-02
70            	-3.286413e-03	9.774248e-01	3.544544e-02	1.443631e-02	2.100913e-02
71            	-3.293025e-03	9.795967e-01	3.514034e-02	1.427714e-02	2.086320e-02
72            	-3.295457e-03	9.807311e-01	3.467092e-02	1.404000e-02	2.063092e-02
73            	-3.294603e-03	9.808926e-01	3.414793e-02	1.377936e-02	2.036857e-02
74            	-3.289259e-03	9.799367e-01	3.370333e-02	1.356240e-02	2.014092e-02
75            	-3.272221e-03	9.767999e-01	3.337840e-02	1.341698e-02	1.996142e-02
76            	-3.245479e-03	9.718434e-01	3.344518e-02	1.347711e-02	1.996807e-02
77            	-3.213285e-03	9.655500e-01	3.405036e-02	1.381190e-02	2.023847e-02
78            	-3.183280e-03	9.591370e-01	3.528382e-02	1.445863e-02	2.082519e-02
79            	-3.161790e-03	9.537373e-01	3.726687e-02	1.547165e-02	2.179523e-02
80            	-3.151884e-03	9.499979e-01	3.987361e-02	1.678492e-02	2.308869e-02
81            	-3.147967e-03	9.475283e-01	4.290366e-02	1.830386e-02	2.459980e-02
82            	-3.140659e-03	9.451157e-01	4.627788e-02	1.999828e-02	2.627960e-02
83            	-3.124345e-03	9.420556e-01	4.988638e-02	2.181885e-02	2.806754e-02
84            	-3.103147e-03	9.388159e-01	5.278182e-02	2.328776e-02	2.949405e-02
85            	-3.081220e-03	9.360827e-01	5.387433e-02	2.385595e-02	3.001839e-02
86            	-3.062469e-03	9.343459e-01	5.246388e-02	2.316947e-02	2.929441e-02
87            	-3.046236e-03	9.335855e-01	4.868137e-02	2.129445e-02	2.738692e-02
88            	-3.033539e-03	9.338185e-01	4.307080e-02	1.850186e-02	2.456894e-02
89            	-3.019738e-03	9.341269e-01	3.622389e-02	1.509221e-02	2.113168e-02
90            	-2.999177e-03	9.332422e-01	2.923263e-02	1.161714e-02	1.761549e-02
91            	-2.971530e-03	9.306375e-01	2.324963e-02	8.653286e-03	1.459635e-02
92            	-2.947147e-03	9.275602e-01	1.865821e-02	6.381959e-03	1.227625e-02
93            	-2.932588e-03	9.248216e-01	1.542085e-02	4.777839e-03	1.064302e-02
94            	-2.928763e-03	9.226106e-01	1.358578e-02	3.864126e-03	9.721653e-03
95            	-2.932604e-03	9.208663e-01	1.367678e-02	3.905785e-03	9.770993e-03
96            	-2.939347e-03	9.194000e-01	1.586979e-02	4.995548e-03	1.087424e-02
97            	-2.946664e-03	9.180725e-01	1.987107e-02	6.988870e-03	1.288220e-02
98            	-2.954000e-03	9.169629e-01	2.525593e-02	9.673966e-03	1.558197e-02
99            	-2.962310e-03	9.162652e-01	3.130490e-02	1.269014e-02	1.861476e-02
100           	-2.970276e-03	9.157784e-01	3.704633e-02	1.555289e-02	2.149344e-02
101           	-2.976111e-03	9.151674e-01	4.179241e-02	1.792009e-02	2.387231e-02
102           	-2.979451e-03	9.141817e-01	4.540620e-02	1.972365e-02	2.568255e-02
103           	-2.984876e-03	9.134938e-01	4.787412e-02	2.095218e-02	2.692194e-02
104           	-2.997155e-03	9.138370e-01	4.962779e-02	2.181674e-02	2.781105e-02
105           	-3.018396e-03	9.155581e-01	5.124975e-02	2.260648e-02	2.864327e-02
106           	-3.047945e-03	9.186284e-01	5.315937e-02	2.353174e-02	2.962763e-02
107           	-3.083933e-03	9.228261e-01	5.562767e-02	2.472990e-02	3.089777e-02
108           	-3.123258e-03	9.277911e-01	5.871140e-02	2.623244e-02	3.247896e-02
109           	-3.161013e-03	9.328761e-01	6.244608e-02	2.806203e-02	3.438405e-02
110           	-3.193251e-03	9.375589e-01	6.673503e-02	3.017426e-02	3.656077e-02
111           	-3.219690e-03	9.417583e-01	7.121613e-02	3.238838e-02	3.882776e-02
112           	-3.243876e-03	9.458975e-01	7.527638e-02	3.439431e-02	4.088207e-02
113           	-3.269398e-03	9.504418e-01	7.830079e-02	3.588100e-02	4.241979e-02
114           	-3.301048e-03	9.560590e-01	7.956789e-02	3.648290e-02	4.308499e-02
115           	-3.339388e-03	9.629318e-01	7.871216e-02	3.601669e-02	4.269547e-02
116           	-3.383241e-03	9.709064e-01	7.572189e-02	3.447771e-02	4.124419e-02
117           	-3.425222e-03	9.787594e-01	7.104736e-02	3.209846e-02	3.894890e-02
118           	-3.466271e-03	9.866710e-01	6.504135e-02	2.905440e-02	3.598694e-02
119           	-3.504609e-03	9.942381e-01	5.832826e-02	2.565952e-02	3.266874e-02
120           	-3.535959e-03	1.000604e+00	5.166558e-02	2.229683e-02	2.936875e-02
121           	-3.555239e-03	1.004822e+00	4.595239e-02	1.942095e-02	2.653143e-02
122           	-3.559338e-03	1.006268e+00	4.187255e-02	1.737694e-02	2.449561e-02
123           	-3.551911e-03	1.005982e+00	4.051197e-02	1.670407e-02	2.380790e-02
124           	-3.535314e-03	1.003256e+00	4.122288e-02	1.707613e-02	2.414675e-02
125           	-3.508138e-03	9.988195e-01	4.299124e-02	1.798748e-02	2.500376e-02
126           	-3.464272e-03	9.930918e-01	4.345795e-02	1.826470e-02	2.519325e-02
127           	-3.407993e-03	9.868580e-01	4.109109e-02	1.713755e-02	2.395354e-02
128           	-3.344886e-03	9.804394e-01	3.488860e-02	1.409941e-02	2.078919e-02
129           	-3.286872e-03	9.758254e-01	2.510856e-02	9.267410e-03	1.584115e-02
130           	-3.226781e-03	9.707159e-01	1.175252e-02	2.649481e-03	9.103043e-03
131           	-3.182982e-03	9.671042e-01	1.015285e-03	-2.675340e-03	3.690624e-03
132           	-3.145378e-03	9.632105e-01	-5.141757e-03	-5.716257e-03	5.744995e-04
133           	-3.100231e-03	9.577512e-01	-8.228098e-03	-7.214279e-03	-1.013818e-03
