# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 7.847395e-03
# lRef        : 4.000000e+00
# Aref        : 2.562000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.009785e-02	2.353188e+00	-2.671698e-01	-1.436828e-01	-1.234871e-01
2             	-1.257914e-02	3.043065e+00	-3.069200e-01	-1.660391e-01	-1.408808e-01
3             	-8.300057e-03	2.227860e+00	-1.289344e-01	-7.276728e-02	-5.616716e-02
4             	-4.321931e-03	1.418385e+00	1.760188e-02	4.479007e-03	1.312287e-02
5             	-2.570618e-03	1.039156e+00	8.815400e-02	4.150638e-02	4.664762e-02
6             	-2.104887e-03	9.201390e-01	1.148611e-01	5.532564e-02	5.953541e-02
7             	-2.452417e-03	9.825007e-01	1.076619e-01	5.137855e-02	5.628338e-02
8             	-2.874403e-03	1.080834e+00	9.070129e-02	4.247624e-02	4.822505e-02
9             	-3.164080e-03	1.159871e+00	7.415653e-02	3.391419e-02	4.024234e-02
10            	-3.298210e-03	1.205089e+00	6.187372e-02	2.763865e-02	3.423507e-02
11            	-3.363300e-03	1.237204e+00	4.894943e-02	2.111141e-02	2.783801e-02
12            	-3.374721e-03	1.261094e+00	3.394601e-02	1.359828e-02	2.034773e-02
13            	-3.327489e-03	1.269445e+00	2.208750e-02	7.716259e-03	1.437124e-02
14            	-3.268154e-03	1.270411e+00	1.530263e-02	4.383161e-03	1.091947e-02
15            	-3.219136e-03	1.271029e+00	1.050686e-02	2.034297e-03	8.472568e-03
16            	-3.188895e-03	1.274010e+00	5.892223e-03	-2.427838e-04	6.135006e-03
17            	-3.181208e-03	1.280622e+00	9.826555e-04	-2.689881e-03	3.672536e-03
18            	-3.191223e-03	1.290267e+00	-4.073206e-03	-5.227826e-03	1.154621e-03
19            	-3.210112e-03	1.301423e+00	-8.952440e-03	-7.686332e-03	-1.266108e-03
20            	-3.227867e-03	1.312143e+00	-1.322767e-02	-9.841703e-03	-3.385968e-03
21            	-3.240323e-03	1.321588e+00	-1.616345e-02	-1.132205e-02	-4.841403e-03
22            	-3.249400e-03	1.330009e+00	-1.751544e-02	-1.200712e-02	-5.508319e-03
23            	-3.257315e-03	1.337782e+00	-1.773269e-02	-1.212366e-02	-5.609029e-03
