# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	4.437200e-01	1.000000e+00	3.979220e-01
2             	3.838490e-01	5.996400e-01	2.569690e-01	5.956110e-01
3             	4.507530e-02	4.869610e-01	1.557280e-01	4.598030e-01
4             	5.526550e-02	3.317240e-01	1.018380e-01	2.987750e-01
5             	8.839060e-02	2.576310e-01	7.818480e-02	2.384840e-01
6             	1.234490e-01	2.168150e-01	6.305760e-02	2.081460e-01
7             	1.349830e-01	1.831750e-01	5.416950e-02	1.758540e-01
8             	1.213610e-01	1.528180e-01	4.828100e-02	1.467270e-01
9             	1.073110e-01	1.278250e-01	4.245110e-02	1.171400e-01
10            	8.092160e-02	1.183990e-01	3.608830e-02	1.061130e-01
11            	6.421470e-02	1.091950e-01	3.039540e-02	1.011730e-01
12            	5.790950e-02	9.648730e-02	2.579140e-02	9.144220e-02
13            	5.629680e-02	8.223070e-02	2.257360e-02	7.920710e-02
14            	5.678730e-02	7.171610e-02	2.036780e-02	6.961030e-02
15            	6.167330e-02	6.504440e-02	1.882110e-02	6.326790e-02
16            	6.549090e-02	6.074970e-02	1.717670e-02	5.764650e-02
17            	6.840380e-02	5.716280e-02	1.563220e-02	5.317970e-02
18            	6.971780e-02	5.381340e-02	1.404660e-02	5.021790e-02
19            	7.082350e-02	5.098470e-02	1.244360e-02	4.801120e-02
20            	7.050520e-02	4.845900e-02	1.104620e-02	4.591250e-02
21            	6.939730e-02	4.618690e-02	1.019980e-02	4.399480e-02
22            	6.879920e-02	4.421770e-02	9.619070e-03	4.259690e-02
23            	7.052890e-02	4.293060e-02	9.366350e-03	4.213730e-02
24            	7.378610e-02	4.214180e-02	9.189800e-03	4.168740e-02
25            	7.611420e-02	4.146840e-02	8.971460e-03	4.099940e-02
26            	7.756060e-02	3.999100e-02	8.531660e-03	3.947250e-02
27            	7.765960e-02	3.852520e-02	8.244390e-03	3.791640e-02
28            	7.787560e-02	3.765880e-02	8.200670e-03	3.736050e-02
29            	7.656560e-02	3.686580e-02	8.085580e-03	3.680770e-02
30            	7.416710e-02	3.619260e-02	7.982560e-03	3.609180e-02
31            	7.227670e-02	3.536160e-02	7.783400e-03	3.547470e-02
32            	7.017240e-02	3.397800e-02	7.473470e-03	3.443580e-02
33            	6.805070e-02	3.242530e-02	7.126690e-03	3.302340e-02
34            	6.677590e-02	3.109200e-02	6.779670e-03	3.149370e-02
35            	6.537740e-02	3.062640e-02	6.534500e-03	3.061320e-02
36            	6.233350e-02	3.002660e-02	6.378030e-03	2.963000e-02
37            	5.900750e-02	2.961800e-02	6.193090e-03	2.865880e-02
38            	5.764550e-02	2.928240e-02	6.017720e-03	2.779780e-02
39            	5.754020e-02	2.949660e-02	5.985940e-03	2.804650e-02
40            	5.828120e-02	3.019070e-02	6.336560e-03	2.920430e-02
41            	5.826050e-02	3.174920e-02	6.852200e-03	3.079490e-02
42            	5.852430e-02	3.411400e-02	7.472900e-03	3.275470e-02
43            	6.005160e-02	3.664010e-02	8.115850e-03	3.488430e-02
44            	6.361620e-02	3.927030e-02	8.633510e-03	3.721210e-02
45            	6.697670e-02	4.123440e-02	9.117660e-03	3.949050e-02
46            	6.736780e-02	4.265190e-02	9.531760e-03	4.112550e-02
47            	6.923140e-02	4.229470e-02	9.504920e-03	4.084010e-02
48            	7.216070e-02	4.148560e-02	9.191320e-03	3.957320e-02
49            	7.384500e-02	4.035670e-02	8.936510e-03	3.878510e-02
50            	7.339950e-02	3.893130e-02	8.875210e-03	3.789600e-02
51            	7.266240e-02	3.872540e-02	9.044340e-03	3.762260e-02
52            	7.291970e-02	3.907730e-02	9.234150e-03	3.800850e-02
53            	7.278560e-02	4.000410e-02	9.317640e-03	3.917130e-02
54            	7.275670e-02	4.126110e-02	9.703200e-03	4.161350e-02
55            	7.336700e-02	4.285530e-02	1.018950e-02	4.489230e-02
56            	7.483570e-02	4.590010e-02	1.088540e-02	4.804260e-02
57            	7.591800e-02	5.093720e-02	1.193310e-02	5.238510e-02
58            	7.799940e-02	5.493850e-02	1.286440e-02	5.533520e-02
59            	7.972140e-02	5.940560e-02	1.403940e-02	5.924630e-02
60            	8.176000e-02	6.368570e-02	1.504860e-02	6.337560e-02
61            	8.536420e-02	6.620980e-02	1.592210e-02	6.674850e-02
62            	8.698930e-02	6.833250e-02	1.654140e-02	6.925140e-02
63            	8.805410e-02	6.714170e-02	1.658870e-02	6.759620e-02
64            	8.490180e-02	6.268810e-02	1.608180e-02	6.328010e-02
65            	7.892310e-02	5.732790e-02	1.471080e-02	5.805300e-02
66            	7.428030e-02	5.329740e-02	1.331850e-02	5.432750e-02
67            	7.220520e-02	5.056040e-02	1.241150e-02	5.177460e-02
68            	7.070480e-02	4.875290e-02	1.157280e-02	4.877680e-02
69            	7.159850e-02	4.691100e-02	1.072010e-02	4.524550e-02
70            	7.231960e-02	4.435300e-02	1.011500e-02	4.242250e-02
71            	7.190000e-02	4.221640e-02	9.666000e-03	4.014380e-02
72            	7.102430e-02	4.080550e-02	9.382700e-03	3.908090e-02
73            	6.971040e-02	4.077970e-02	9.433290e-03	3.880240e-02
74            	6.976600e-02	4.040600e-02	9.550750e-03	3.853190e-02
75            	6.883700e-02	3.971510e-02	9.482090e-03	3.767060e-02
76            	6.962750e-02	3.923580e-02	9.469200e-03	3.730120e-02
77            	7.070240e-02	3.967340e-02	9.443440e-03	3.797760e-02
78            	7.119150e-02	4.068260e-02	9.488920e-03	3.956900e-02
79            	7.074490e-02	4.146570e-02	9.795110e-03	4.137100e-02
80            	6.994320e-02	4.272960e-02	1.036780e-02	4.353480e-02
81            	7.135500e-02	4.536410e-02	1.117050e-02	4.612520e-02
82            	7.433310e-02	4.872360e-02	1.190440e-02	4.839450e-02
83            	7.755540e-02	5.215250e-02	1.235060e-02	5.053840e-02
84            	7.939960e-02	5.559690e-02	1.265930e-02	5.262370e-02
85            	8.130120e-02	5.857310e-02	1.327450e-02	5.535930e-02
86            	8.479350e-02	6.127090e-02	1.395240e-02	5.884090e-02
87            	8.607870e-02	6.222780e-02	1.440190e-02	5.983280e-02
88            	8.527220e-02	6.216410e-02	1.486620e-02	6.090750e-02
89            	8.563610e-02	6.064250e-02	1.507640e-02	6.168130e-02
90            	8.802250e-02	5.848170e-02	1.490850e-02	6.136530e-02
91            	8.787460e-02	5.606740e-02	1.461340e-02	5.943110e-02
