# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	3.174180e-01	1.000000e+00	2.781380e-01
2             	2.873200e-01	5.983010e-01	2.568790e-01	5.942940e-01
3             	4.154050e-02	4.819620e-01	1.517330e-01	4.570850e-01
4             	5.325900e-02	3.270280e-01	9.869700e-02	2.964370e-01
5             	9.018440e-02	2.537300e-01	7.556970e-02	2.377040e-01
6             	1.311430e-01	2.148240e-01	6.079480e-02	2.079520e-01
7             	1.430780e-01	1.824020e-01	5.206600e-02	1.751340e-01
8             	1.226610e-01	1.520720e-01	4.632820e-02	1.452680e-01
9             	1.068200e-01	1.261420e-01	4.075160e-02	1.156610e-01
10            	7.920600e-02	1.154090e-01	3.455840e-02	1.038360e-01
11            	6.264110e-02	1.060970e-01	2.902100e-02	9.890440e-02
12            	5.457970e-02	9.370530e-02	2.463610e-02	8.992440e-02
13            	5.334570e-02	7.960600e-02	2.146730e-02	7.834310e-02
14            	5.270410e-02	6.915090e-02	1.922280e-02	6.845160e-02
15            	5.669170e-02	6.312720e-02	1.770560e-02	6.201170e-02
16            	6.011860e-02	5.873160e-02	1.614590e-02	5.625690e-02
17            	6.178830e-02	5.445380e-02	1.468570e-02	5.100640e-02
18            	6.348930e-02	5.036230e-02	1.326610e-02	4.710330e-02
19            	6.506390e-02	4.721260e-02	1.185930e-02	4.477600e-02
20            	6.560720e-02	4.452030e-02	1.060750e-02	4.283320e-02
21            	6.452220e-02	4.217990e-02	9.721860e-03	4.079120e-02
22            	6.345070e-02	4.007560e-02	9.117610e-03	3.934230e-02
23            	6.407820e-02	3.846200e-02	8.764980e-03	3.855540e-02
24            	6.593600e-02	3.760500e-02	8.553490e-03	3.855680e-02
25            	6.893180e-02	3.686390e-02	8.195280e-03	3.833560e-02
26            	7.201620e-02	3.586290e-02	7.790710e-03	3.733050e-02
27            	7.418990e-02	3.474050e-02	7.475850e-03	3.562360e-02
28            	7.528310e-02	3.385960e-02	7.329720e-03	3.425100e-02
29            	7.694750e-02	3.345340e-02	7.310700e-03	3.379010e-02
30            	7.749460e-02	3.303610e-02	7.343910e-03	3.375670e-02
31            	7.567790e-02	3.237030e-02	7.393960e-03	3.364560e-02
32            	7.135060e-02	3.147260e-02	7.269210e-03	3.336950e-02
33            	6.806110e-02	3.059220e-02	7.140010e-03	3.291830e-02
34            	6.560670e-02	2.982020e-02	6.902180e-03	3.191130e-02
35            	6.417350e-02	2.888670e-02	6.586650e-03	3.046280e-02
36            	6.254110e-02	2.797900e-02	6.260910e-03	2.860280e-02
37            	6.194070e-02	2.696230e-02	6.041810e-03	2.689530e-02
38            	6.147690e-02	2.664660e-02	5.877970e-03	2.598070e-02
39            	6.163950e-02	2.671310e-02	5.735700e-03	2.541410e-02
40            	6.168200e-02	2.740290e-02	5.729110e-03	2.543030e-02
41            	6.134580e-02	2.944880e-02	5.915070e-03	2.639190e-02
42            	6.207560e-02	3.217460e-02	6.352200e-03	2.859740e-02
43            	6.494120e-02	3.492860e-02	7.024850e-03	3.116600e-02
44            	6.810160e-02	3.783400e-02	7.882970e-03	3.411060e-02
45            	7.011900e-02	4.020820e-02	8.673620e-03	3.724300e-02
46            	7.383720e-02	4.249540e-02	9.229640e-03	4.007350e-02
47            	7.500080e-02	4.343290e-02	9.710080e-03	4.247970e-02
48            	7.417960e-02	4.273620e-02	1.003050e-02	4.407890e-02
49            	7.419950e-02	4.253130e-02	1.041060e-02	4.577930e-02
50            	7.258800e-02	4.207960e-02	1.045210e-02	4.565620e-02
51            	7.099780e-02	4.154440e-02	1.017360e-02	4.401590e-02
52            	6.841600e-02	4.187250e-02	9.953590e-03	4.228730e-02
53            	6.603460e-02	4.298220e-02	9.972690e-03	4.189770e-02
54            	6.734210e-02	4.292400e-02	9.733420e-03	4.104930e-02
55            	6.905840e-02	4.170740e-02	9.386300e-03	4.044850e-02
56            	7.067720e-02	4.020390e-02	8.867850e-03	3.939700e-02
57            	7.147020e-02	3.955680e-02	8.622990e-03	3.834520e-02
58            	7.181740e-02	3.962730e-02	8.565310e-03	3.714910e-02
59            	7.160460e-02	3.987890e-02	8.758380e-03	3.620760e-02
60            	7.083330e-02	4.106980e-02	9.017790e-03	3.609990e-02
61            	6.953950e-02	4.175290e-02	9.198380e-03	3.643790e-02
62            	7.032310e-02	4.159900e-02	9.334410e-03	3.731920e-02
63            	7.216790e-02	4.090650e-02	9.435480e-03	3.772280e-02
64            	7.256380e-02	4.028220e-02	9.268710e-03	3.795120e-02
65            	7.322690e-02	3.988290e-02	9.137140e-03	3.807170e-02
66            	7.314330e-02	3.974190e-02	9.020750e-03	3.816480e-02
67            	7.358510e-02	3.979420e-02	9.054360e-03	3.856190e-02
68            	7.455890e-02	4.069900e-02	9.456550e-03	4.009090e-02
69            	7.584110e-02	4.297570e-02	1.018180e-02	4.197950e-02
70            	7.931640e-02	4.607250e-02	1.102560e-02	4.460090e-02
71            	8.176940e-02	5.007690e-02	1.188870e-02	4.721530e-02
72            	8.464110e-02	5.413800e-02	1.279850e-02	5.006440e-02
73            	8.594730e-02	5.795330e-02	1.382560e-02	5.303940e-02
74            	8.712220e-02	6.154400e-02	1.462660e-02	5.629430e-02
75            	8.745140e-02	6.370950e-02	1.505250e-02	5.887460e-02
76            	8.833490e-02	6.365830e-02	1.513300e-02	6.006820e-02
77            	8.916990e-02	6.037890e-02	1.463470e-02	5.857610e-02
78            	8.925710e-02	5.708880e-02	1.406590e-02	5.705520e-02
79            	8.755260e-02	5.458240e-02	1.358590e-02	5.589270e-02
80            	8.376050e-02	5.443090e-02	1.335560e-02	5.496630e-02
81            	7.960180e-02	5.427710e-02	1.313530e-02	5.313180e-02
82            	7.545690e-02	5.448420e-02	1.288870e-02	5.169310e-02
83            	7.294050e-02	5.563810e-02	1.259300e-02	5.083050e-02
84            	7.376360e-02	5.546540e-02	1.219900e-02	4.909230e-02
85            	7.685300e-02	5.400660e-02	1.216180e-02	4.851270e-02
86            	7.845030e-02	5.235200e-02	1.183280e-02	4.854340e-02
87            	7.856860e-02	5.048180e-02	1.150990e-02	4.776650e-02
88            	7.674480e-02	4.922410e-02	1.128780e-02	4.748160e-02
89            	7.570990e-02	5.023270e-02	1.143480e-02	4.824270e-02
90            	7.516270e-02	5.195480e-02	1.160500e-02	4.924610e-02
91            	7.508010e-02	5.270910e-02	1.162750e-02	4.975860e-02
92            	7.700780e-02	5.157710e-02	1.166420e-02	4.888230e-02
93            	7.988630e-02	4.989270e-02	1.181990e-02	4.836770e-02
94            	7.954050e-02	5.018110e-02	1.187540e-02	4.951690e-02
95            	7.756960e-02	5.001530e-02	1.148820e-02	4.949490e-02
96            	7.782140e-02	4.995100e-02	1.114470e-02	4.876360e-02
97            	7.900690e-02	4.974330e-02	1.082670e-02	4.859700e-02
98            	7.990310e-02	5.105870e-02	1.074890e-02	4.869570e-02
99            	7.932500e-02	5.339930e-02	1.103440e-02	4.986700e-02
100           	7.949090e-02	5.349250e-02	1.141320e-02	4.950180e-02
101           	7.956170e-02	5.387130e-02	1.170930e-02	4.926760e-02
102           	8.080380e-02	5.371490e-02	1.206500e-02	4.953190e-02
103           	8.188060e-02	5.214510e-02	1.230340e-02	4.945710e-02
104           	8.255740e-02	5.115460e-02	1.225900e-02	5.002920e-02
105           	7.958530e-02	5.038130e-02	1.212400e-02	4.944470e-02
106           	7.553100e-02	4.911950e-02	1.192230e-02	4.732330e-02
107           	7.485670e-02	4.800460e-02	1.148720e-02	4.565230e-02
108           	7.318400e-02	4.620860e-02	1.079550e-02	4.411860e-02
109           	7.274000e-02	4.475550e-02	1.010160e-02	4.191910e-02
110           	7.317290e-02	4.411020e-02	9.661020e-03	4.012700e-02
111           	7.468640e-02	4.433620e-02	9.302150e-03	3.868390e-02
112           	7.528410e-02	4.379860e-02	8.882470e-03	3.709110e-02
113           	7.467510e-02	4.228150e-02	8.669410e-03	3.578610e-02
114           	7.371250e-02	4.019390e-02	8.449500e-03	3.524330e-02
115           	7.242830e-02	3.838040e-02	8.324240e-03	3.544280e-02
116           	7.244880e-02	3.652780e-02	8.058200e-03	3.529800e-02
117           	7.249360e-02	3.500690e-02	7.813930e-03	3.459480e-02
118           	7.052910e-02	3.341630e-02	7.637440e-03	3.356760e-02
119           	6.783660e-02	3.283010e-02	7.656740e-03	3.297950e-02
120           	6.562980e-02	3.300550e-02	7.661320e-03	3.320840e-02
121           	6.381800e-02	3.385860e-02	7.724780e-03	3.336520e-02
122           	6.255910e-02	3.483730e-02	7.949510e-03	3.341390e-02
123           	6.208830e-02	3.569560e-02	8.314630e-03	3.410500e-02
124           	6.309660e-02	3.678290e-02	8.927360e-03	3.513530e-02
125           	6.284540e-02	3.812550e-02	9.563420e-03	3.687670e-02
126           	6.427600e-02	4.039730e-02	1.038100e-02	3.959800e-02
127           	6.649880e-02	4.488920e-02	1.157190e-02	4.338380e-02
128           	7.042640e-02	5.047450e-02	1.264160e-02	4.714090e-02
129           	7.511390e-02	5.668480e-02	1.373140e-02	5.161800e-02
130           	7.789830e-02	6.300300e-02	1.486420e-02	5.704840e-02
131           	8.048580e-02	6.974140e-02	1.613210e-02	6.318240e-02
132           	8.611560e-02	7.350810e-02	1.705570e-02	6.860590e-02
133           	9.026000e-02	7.362440e-02	1.732180e-02	7.016800e-02
134           	8.855970e-02	6.824520e-02	1.690890e-02	6.698430e-02
135           	8.405740e-02	6.081030e-02	1.624240e-02	6.288050e-02
136           	7.933570e-02	5.571990e-02	1.558040e-02	5.886070e-02
137           	7.434160e-02	5.524840e-02	1.488530e-02	5.593020e-02
138           	7.083840e-02	5.500920e-02	1.425440e-02	5.298940e-02
139           	6.843810e-02	5.526110e-02	1.342650e-02	5.161290e-02
140           	6.742730e-02	5.496980e-02	1.257670e-02	5.148950e-02
141           	6.690940e-02	5.322000e-02	1.162100e-02	5.038360e-02
