# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.034300e-01	5.434920e-01	2.313610e-01	5.576730e-01
3             	1.701550e-01	4.882670e-01	1.559430e-01	4.382670e-01
4             	9.313920e-02	3.444010e-01	1.125120e-01	3.021300e-01
5             	8.679650e-02	2.760470e-01	8.438330e-02	2.542830e-01
6             	1.311020e-01	2.327340e-01	6.596290e-02	2.276900e-01
7             	9.457710e-02	1.942470e-01	5.503480e-02	1.972040e-01
8             	8.151330e-02	1.630540e-01	4.863050e-02	1.581600e-01
9             	6.973840e-02	1.354740e-01	4.154750e-02	1.359480e-01
10            	6.414410e-02	1.173070e-01	3.443090e-02	1.243430e-01
11            	6.386040e-02	1.059040e-01	2.880640e-02	1.127350e-01
12            	6.317220e-02	9.605340e-02	2.511290e-02	9.895610e-02
13            	6.246950e-02	8.784200e-02	2.209000e-02	8.917250e-02
14            	6.037680e-02	8.096940e-02	1.982230e-02	8.041230e-02
15            	5.593940e-02	7.462140e-02	1.813370e-02	7.558040e-02
16            	5.357760e-02	7.064720e-02	1.694950e-02	7.448040e-02
17            	4.874590e-02	6.155840e-02	1.605540e-02	6.611400e-02
18            	4.581870e-02	5.559570e-02	1.463530e-02	6.004490e-02
19            	4.207990e-02	5.062190e-02	1.318000e-02	5.635020e-02
20            	4.407890e-02	4.592500e-02	1.210060e-02	5.106090e-02
21            	4.642300e-02	4.058340e-02	1.052330e-02	4.465150e-02
22            	4.773300e-02	3.670110e-02	8.807140e-03	3.805200e-02
23            	4.747390e-02	3.269500e-02	7.667960e-03	3.252430e-02
24            	4.843790e-02	3.022970e-02	6.853270e-03	2.916440e-02
25            	4.822800e-02	2.888480e-02	6.200000e-03	2.794010e-02
26            	4.727800e-02	2.679860e-02	5.750880e-03	2.632410e-02
27            	4.648480e-02	2.502540e-02	5.463310e-03	2.474880e-02
28            	4.446340e-02	2.341190e-02	5.346910e-03	2.311730e-02
29            	4.288270e-02	2.223460e-02	5.289500e-03	2.218910e-02
30            	4.192150e-02	2.151820e-02	5.209630e-03	2.183390e-02
31            	4.259910e-02	2.156310e-02	5.153340e-03	2.180990e-02
32            	4.202640e-02	2.198410e-02	4.963120e-03	2.198480e-02
33            	4.164020e-02	2.123850e-02	4.800480e-03	2.073690e-02
34            	4.201800e-02	2.103410e-02	4.596350e-03	1.967510e-02
35            	4.315140e-02	1.997740e-02	4.539820e-03	1.814720e-02
36            	4.450090e-02	1.895640e-02	4.510540e-03	1.714040e-02
37            	4.616880e-02	1.799630e-02	4.471810e-03	1.686940e-02
38            	4.755340e-02	1.794010e-02	4.456040e-03	1.729430e-02
39            	4.873790e-02	1.844990e-02	4.509680e-03	1.797920e-02
40            	4.841710e-02	1.878430e-02	4.626540e-03	1.863420e-02
41            	4.802770e-02	1.889580e-02	4.768240e-03	1.938590e-02
42            	4.648450e-02	1.898650e-02	4.916260e-03	1.983840e-02
43            	4.591360e-02	1.913190e-02	5.127350e-03	1.997640e-02
